order,subset,subset_str,target_index,target,ei_joint,ei_joint_raw,bias_correction,delta_K,null_mean,null_std,z,p_empirical
2,"[16, 32]","16,32",31,component_32,0.01930771417541717,0.01930771417541717,0.0002443195699983747,0.0002629175449213039,-3.3958336628974976e-05,4.8097965928779694e-05,6.172316766781223,0.047619047619047616
2,"[16, 32]","16,32",36,component_37,0.038417818077082624,0.038417818077082624,0.0002443195699983747,0.00014138755982429085,-2.522134799529827e-05,3.85523466019576e-05,4.321628188804702,0.047619047619047616
2,"[16, 32]","16,32",39,component_40,0.009754667308301483,0.009754667308301483,0.0002443195699983747,-5.348802373326966e-05,-3.00897473000837e-05,4.338692932879874e-05,-0.5392932110006458,0.3333333333333333
2,"[16, 32]","16,32",42,component_43,0.026782212449851215,0.026782212449851215,0.0002443195699983747,-7.917972183726918e-05,-4.422116307370688e-05,5.063884311973559e-05,-0.6903506598857868,0.38095238095238093
2,"[16, 32]","16,32",43,component_44,0.04042593723483322,0.04042593723483322,0.0002443195699983747,0.00025926434833584144,-2.364169844737506e-05,4.1347777785454954e-05,6.842110070610259,0.047619047619047616
2,"[16, 32]","16,32",57,component_58,0.018520494441954055,0.018520494441954055,0.0002443195699983747,-7.560257424342812e-05,-1.6219725851097264e-05,2.8544909767636253e-05,-2.0803305694684013,0.09523809523809523
2,"[16, 35]","16,35",0,component_01,0.014653121460496576,0.014653121460496576,0.0002443195699983747,-2.022253506403157e-05,-3.233305879739332e-05,3.5830343900273975e-05,0.3379963018794567,0.5714285714285714
2,"[16, 35]","16,35",5,component_06,0.010677448792721585,0.010677448792721585,0.0002443195699983747,3.508152589017967e-05,-3.106903259102001e-05,4.832922522020149e-05,1.3687485818321978,0.3333333333333333
2,"[16, 35]","16,35",8,component_09,0.022752824117979402,0.022752824117979402,0.0002443195699983747,-2.2127065168117688e-06,-3.099759005076541e-05,4.96165343583349e-05,0.5801469995075982,0.42857142857142855
2,"[16, 35]","16,35",11,component_12,0.011332516849160548,0.011332516849160548,0.0002443195699983747,8.909609925968759e-05,-3.344001875691632e-05,5.046396844004036e-05,2.428190287139176,0.2857142857142857
2,"[16, 35]","16,35",15,component_16,0.0174144389309784,0.0174144389309784,0.0002443195699983747,0.00020330884154189446,-3.547393896915879e-05,4.709286450266835e-05,5.070466259225396,0.047619047619047616
