source,target,source_index,target_index,ei
component_26,component_04,25,3,0.010359330910995723
component_58,component_14,57,13,0.010358806243680352
component_29,component_35,28,34,0.01035458736457917
component_41,component_37,40,36,0.010353818778477297
component_11,component_05,10,4,0.010352124516286754
component_02,component_43,1,42,0.01035101901037816
component_55,component_60,54,59,0.010347417924030378
component_30,component_29,29,28,0.010341754848944618
component_12,component_02,11,1,0.010340959913585301
component_05,component_47,4,46,0.010336504432968852
component_33,component_41,32,40,0.01033628011749288
component_24,component_44,23,43,0.010335546146120311
component_58,component_42,57,41,0.010335543762307609
component_54,component_05,53,4,0.010333848119865596
component_31,component_28,30,27,0.010331550581350157
component_03,component_17,2,16,0.010329672098380982
component_42,component_43,41,42,0.01032914274868979
component_05,component_03,4,2,0.0103190536651665
component_15,component_52,14,51,0.010317138567258688
component_46,component_14,45,13,0.01031433410463789
component_50,component_08,49,7,0.01031177824373053
component_24,component_28,23,27,0.010311436154686326
component_34,component_06,33,5,0.010308547340733387
component_04,component_37,3,36,0.010306978369087894
component_13,component_03,12,2,0.0103062006359802
component_16,component_57,15,56,0.010300940427792504
component_23,component_33,22,32,0.010295569768880686
component_35,component_08,34,7,0.010291238677056835
component_12,component_46,11,45,0.010288470111165626
component_21,component_20,20,19,0.010288377180615704
component_11,component_29,10,28,0.010288273921677416
component_17,component_41,16,40,0.01028758219065029
component_08,component_12,7,11,0.010286880792847342
component_27,component_42,26,41,0.010279548186463927
component_14,component_45,13,44,0.010279367841329545
component_09,component_53,8,52,0.010278020025059842
component_45,component_31,44,30,0.010271671155496875
component_40,component_05,39,4,0.010270322703772816
component_15,component_32,14,31,0.010269829451634127
component_27,component_13,26,12,0.010267727355105727
component_47,component_29,46,28,0.010267561246580126
component_03,component_29,2,28,0.010262423783240493
component_56,component_11,55,10,0.010256214294300126
component_45,component_12,44,11,0.0102547931205752
component_17,component_60,16,59,0.010251717749748757
component_13,component_38,12,37,0.010250956147749957
component_27,component_46,26,45,0.01024640810264943
component_22,component_53,21,52,0.010244759324389285
component_11,component_41,10,40,0.010240420559985974
component_13,component_08,12,7,0.01023874186473872
component_41,component_12,40,11,0.01023642094495969
component_31,component_52,30,51,0.010227921032869514
component_20,component_14,19,13,0.010219960467865885
component_02,component_40,1,39,0.01021903083932063
component_20,component_59,19,58,0.010218845144388755
component_12,component_25,11,24,0.010216523734187355
component_05,component_02,4,1,0.01021566206556379
component_05,component_20,4,19,0.010212470360031478
component_09,component_52,8,51,0.01021171188092218
component_21,component_55,20,54,0.010211397293854674
component_32,component_10,31,9,0.010198026903833757
component_22,component_47,21,46,0.010194459100802966
component_42,component_50,41,49,0.010192974203290461
component_58,component_51,57,50,0.010192674200143248
component_39,component_12,38,11,0.010192371408761502
component_14,component_25,13,24,0.010192285095869558
component_57,component_04,56,3,0.010192142670843118
component_60,component_24,59,23,0.010191827409344434
component_34,component_54,33,53,0.010189543206347018
component_07,component_48,6,47,0.010188911710068638
component_19,component_13,18,12,0.01018821805154202
component_57,component_09,56,8,0.010184581662243897
component_36,component_49,35,48,0.010184460606688539
component_21,component_28,20,27,0.010182276161105897
component_42,component_57,41,56,0.010182020277573756
component_40,component_48,39,47,0.01018137404307451
component_46,component_21,45,20,0.010177890603493722
component_47,component_23,46,22,0.010174274913043568
component_18,component_40,17,39,0.010169198798463341
component_29,component_23,28,22,0.010168701039869
component_19,component_56,18,55,0.010166641504420149
component_20,component_44,19,43,0.010166301387240395
component_45,component_34,44,33,0.010161097424775
component_45,component_60,44,59,0.010159518447964366
component_17,component_09,16,8,0.010157648701039523
component_57,component_15,56,14,0.01015718496559792
component_30,component_34,29,33,0.010157006815431746
component_59,component_10,58,9,0.010155165155675938
component_33,component_54,32,53,0.010153270604295273
component_10,component_46,9,45,0.010150043151734955
component_48,component_26,47,25,0.010148856898661407
component_38,component_46,37,45,0.01014860979808141
component_01,component_15,0,14,0.01014766059835992
component_05,component_58,4,57,0.010146961897703477
component_03,component_45,2,44,0.010145381703480894
component_48,component_12,47,11,0.010138520818396834
component_24,component_08,23,7,0.010135787571383226
component_17,component_11,16,10,0.010134346934632443
component_09,component_38,8,37,0.010133487037137012
component_24,component_37,23,36,0.010131087229619418
component_33,component_02,32,1,0.010129240254402205
component_17,component_56,16,55,0.010124904261551215
component_37,component_56,36,55,0.010123285514926472
component_35,component_26,34,25,0.010122766522266513
component_58,component_59,57,58,0.010121962203041956
component_39,component_02,38,1,0.010119627593507374
component_26,component_15,25,14,0.010118550253585656
component_16,component_50,15,49,0.010110659962227153
component_55,component_11,54,10,0.010110353520789594
component_39,component_17,38,16,0.010109092901138705
component_22,component_24,21,23,0.010107092041959476
component_07,component_47,6,46,0.01010633713694542
component_48,component_54,47,53,0.010105697462669205
component_34,component_02,33,1,0.010104641970137607
component_53,component_41,52,40,0.010098811370044203
component_09,component_02,8,1,0.010097356633721688
component_59,component_51,58,50,0.010095005524711986
component_10,component_54,9,53,0.010087380184327976
component_57,component_02,56,1,0.010084917537801719
component_43,component_14,42,13,0.010081800023553633
component_07,component_13,6,12,0.01008168367832063
component_02,component_09,1,8,0.010081649949713611
component_46,component_57,45,56,0.010078180692399297
component_29,component_32,28,31,0.010077895107497348
component_29,component_26,28,25,0.010076160961904446
component_48,component_59,47,58,0.010076088672442474
component_59,component_58,58,57,0.010074899182320518
component_27,component_18,26,17,0.010073309264336139
component_49,component_19,48,18,0.01007320774703846
component_26,component_21,25,20,0.010069840210252146
component_28,component_12,27,11,0.010067658054902395
component_12,component_15,11,14,0.010065163336884453
component_18,component_38,17,37,0.010062650192751654
component_42,component_03,41,2,0.010060072326246505
component_05,component_30,4,29,0.010055044618102915
component_22,component_06,21,5,0.010054646189565197
component_60,component_14,59,13,0.0100503794062905
component_51,component_48,50,47,0.010046386738572277
component_52,component_54,51,53,0.01004254290809703
component_17,component_26,16,25,0.010041243365937813
component_20,component_45,19,44,0.010037178306354644
component_41,component_05,40,4,0.010033044599879748
component_46,component_29,45,28,0.010029961321186942
component_08,component_46,7,45,0.010029106175080571
component_40,component_08,39,7,0.010026939302290927
component_25,component_49,24,48,0.010022716685679889
component_06,component_25,5,24,0.01002211846259149
component_25,component_19,24,18,0.010021309813020185
component_30,component_26,29,25,0.01001854276061298
component_53,component_37,52,36,0.010016900380134253
component_53,component_07,52,6,0.010016228802408822
component_15,component_57,14,56,0.010014940475313594
component_37,component_06,36,5,0.010012646999880914
component_37,component_50,36,49,0.010009887104748483
component_28,component_25,27,24,0.010009437838705004
component_33,component_35,32,34,0.010009039985177548
component_34,component_30,33,29,0.010007406642761563
component_57,component_55,56,54,0.009996641809629558
component_34,component_13,33,12,0.00999659753233395
component_29,component_41,28,40,0.009996143493108178
component_11,component_04,10,3,0.009995803740283637
component_28,component_47,27,46,0.00999460816129183
component_56,component_15,55,14,0.00999097989434361
component_23,component_41,22,40,0.009990402675838173
component_02,component_18,1,17,0.009987728709135002
component_28,component_14,27,13,0.009984523128028222
component_48,component_29,47,28,0.009984449540743068
component_40,component_16,39,15,0.009983647635601667
component_60,component_48,59,47,0.009982343147087569
component_37,component_47,36,46,0.009981126667835571
component_28,component_58,27,57,0.009978495603927051
component_39,component_21,38,20,0.009976225993133525
component_33,component_57,32,56,0.009974989137829127
component_35,component_30,34,29,0.009972027628256441
component_45,component_49,44,48,0.009970851773926093
component_53,component_36,52,35,0.009970034580291554
component_22,component_07,21,6,0.009966452893605648
component_20,component_47,19,46,0.009965680382441278
component_19,component_35,18,34,0.009961046502914073
component_03,component_60,2,59,0.00996049758151818
component_40,component_12,39,11,0.009958378718024186
component_18,component_03,17,2,0.009957581553355688
component_60,component_26,59,25,0.009957543763500887
component_49,component_58,48,57,0.009954951416557556
component_33,component_23,32,22,0.0099533763166324
component_43,component_13,42,12,0.009952358798188676
component_19,component_24,18,23,0.009951766107963778
component_45,component_26,44,25,0.009950635980605416
component_13,component_04,12,3,0.009946765294635895
component_51,component_53,50,52,0.009943288656901306
component_28,component_43,27,42,0.009936897486621632
component_56,component_44,55,43,0.009933544284375984
component_20,component_08,19,7,0.009933002649780587
component_06,component_15,5,14,0.009925195204564474
component_51,component_34,50,33,0.009924057886488757
component_21,component_05,20,4,0.009922884514123265
component_01,component_04,0,3,0.009922098457876949
component_09,component_19,8,18,0.009917918709368756
component_29,component_39,28,38,0.009917719176548268
component_28,component_16,27,15,0.009917231648002733
component_24,component_12,23,11,0.0099169858320316
component_52,component_14,51,13,0.009916441840964296
component_17,component_13,16,12,0.009914167227433879
component_52,component_39,51,38,0.009913104053056898
component_22,component_04,21,3,0.009912513227518627
component_11,component_27,10,26,0.009910133688454614
component_57,component_19,56,18,0.009910050867834919
component_50,component_02,49,1,0.009907196532053408
component_49,component_18,48,17,0.009905364465961242
component_55,component_46,54,45,0.009904029734913333
component_14,component_38,13,37,0.009903163860795594
component_34,component_32,33,31,0.009902616511273887
component_57,component_54,56,53,0.009895855570552836
component_56,component_17,55,16,0.009893366029297468
component_02,component_33,1,32,0.00989164823344657
component_06,component_05,5,4,0.009886845705724845
component_60,component_15,59,14,0.009884622621116446
component_43,component_54,42,53,0.009882277016268759
component_40,component_45,39,44,0.009879053170117835
component_31,component_14,30,13,0.009879038560257847
component_03,component_21,2,20,0.009878355751400836
component_20,component_49,19,48,0.009873603258468311
component_60,component_09,59,8,0.00987286877172755
component_33,component_53,32,52,0.009871831298386091
component_33,component_46,32,45,0.009870323789145541
component_33,component_51,32,50,0.00986975686775482
component_33,component_24,32,23,0.009868084932026733
component_44,component_51,43,50,0.009867461535962185
component_29,component_21,28,20,0.009863701349012821
component_54,component_52,53,51,0.009858379141753915
component_43,component_36,42,35,0.009858223169675995
component_59,component_36,58,35,0.009857321626672189
component_02,component_55,1,54,0.00985669011788115
component_28,component_06,27,5,0.00985663613607013
component_52,component_05,51,4,0.009850651957826528
component_44,component_17,43,16,0.009846757093532332
component_05,component_11,4,10,0.009841815973977042
component_24,component_54,23,53,0.009841661562820736
component_14,component_56,13,55,0.009838573416915963
component_35,component_50,34,49,0.009838188550263638
component_48,component_22,47,21,0.009837513928841801
component_21,component_29,20,28,0.00983509481325795
component_06,component_46,5,45,0.009831537505352816
component_34,component_45,33,44,0.009829767392031563
component_10,component_55,9,54,0.009828326040192792
component_36,component_39,35,38,0.009827149349656672
component_42,component_11,41,10,0.009823883595763583
component_10,component_35,9,34,0.009821439137385646
component_28,component_22,27,21,0.009820731213604272
component_01,component_06,0,5,0.009817547965817575
component_54,component_23,53,22,0.009815216037180274
component_26,component_52,25,51,0.00981466558227062
component_51,component_02,50,1,0.009809868981678349
component_47,component_12,46,11,0.00980821854156444
component_32,component_37,31,36,0.009808022140979311
component_11,component_28,10,27,0.009805783665271406
component_40,component_06,39,5,0.009805169324938134
component_49,component_50,48,49,0.00980220674424448
component_46,component_38,45,37,0.00980077410270308
component_07,component_44,6,43,0.00979963885846491
component_22,component_21,21,20,0.009797150228572526
component_11,component_30,10,29,0.009791095195031296
component_25,component_28,24,27,0.009788886518241391
component_24,component_36,23,35,0.009786567556053782
component_19,component_33,18,32,0.009786367356460879
component_28,component_51,27,50,0.009779270462300982
component_49,component_28,48,27,0.009779250204656975
component_53,component_06,52,5,0.009778835674720376
component_27,component_29,26,28,0.009778408216797985
component_51,component_06,50,5,0.009777279825493146
component_39,component_41,38,40,0.009774839084250697
component_11,component_07,10,6,0.009774236165433159
component_58,component_60,57,59,0.00977333116071577
component_29,component_16,28,15,0.009771742834849384
component_60,component_03,59,2,0.009768972006439558
component_42,component_59,41,58,0.009767845107927275
component_12,component_41,11,40,0.009767789512927116
component_51,component_57,50,56,0.009765001109234284
component_52,component_19,51,18,0.009761675515105317
component_44,component_53,43,52,0.009759205702449592
component_24,component_21,23,20,0.009754809288288868
component_59,component_11,58,10,0.00975313424377422
component_08,component_52,7,51,0.009752856902023765
component_52,component_59,51,58,0.009752652868590506
component_18,component_56,17,55,0.009749118084204866
component_51,component_12,50,11,0.00974853964075173
component_32,component_34,31,33,0.009748535688493654
component_10,component_05,9,4,0.009743555399042592
component_50,component_51,49,50,0.009742127839035497
component_51,component_40,50,39,0.009739549589885321
component_11,component_38,10,37,0.009738249964699186
component_02,component_01,1,0,0.00973454722819067
component_55,component_45,54,44,0.009732241231982464
component_14,component_23,13,22,0.00972830333314123
component_41,component_19,40,18,0.009726956398954822
component_40,component_47,39,46,0.009725255949120104
component_56,component_30,55,29,0.009724559464630467
component_15,component_29,14,28,0.009724002567353729
component_36,component_05,35,4,0.009718220116249121
component_41,component_16,40,15,0.009714108921897058
component_44,component_32,43,31,0.009712084881773997
component_01,component_35,0,34,0.009709561936875666
component_35,component_24,34,23,0.009706984163582622
component_17,component_15,16,14,0.00970493408152251
component_31,component_10,30,9,0.009702997677529801
component_22,component_26,21,25,0.009700701605536821
component_26,component_60,25,59,0.009700666245402445
component_53,component_25,52,24,0.009700613338800679
component_02,component_35,1,34,0.009700264912007484
component_51,component_17,50,16,0.009698886057227352
component_11,component_22,10,21,0.009696520872008119
component_33,component_47,32,46,0.009696094119208354
component_08,component_49,7,48,0.00969578110664493
component_51,component_26,50,25,0.009693832715014672
component_10,component_40,9,39,0.009692978732946056
component_21,component_58,20,57,0.009689063479156879
component_15,component_45,14,44,0.009685503077447422
component_30,component_01,29,0,0.009685501046097222
component_56,component_29,55,28,0.009684177518541226
component_10,component_09,9,8,0.009682908599389695
component_28,component_55,27,54,0.009681535964945809
component_38,component_11,37,10,0.009680930779937036
component_22,component_31,21,30,0.009678602093055044
component_26,component_14,25,13,0.009676167805690916
component_37,component_39,36,38,0.009675714384676848
component_37,component_52,36,51,0.009675105962449138
component_16,component_30,15,29,0.009671057331543942
component_09,component_55,8,54,0.009669456498964557
component_39,component_06,38,5,0.00966831867184803
component_01,component_45,0,44,0.009667984857939516
component_13,component_57,12,56,0.009666213048679761
component_38,component_45,37,44,0.009664645443751674
component_08,component_36,7,35,0.009664559623968394
component_38,component_03,37,2,0.009663310026014393
component_10,component_32,9,31,0.009663212294490187
component_24,component_50,23,49,0.00965970130523397
component_25,component_21,24,20,0.0096586871252482
component_07,component_17,6,16,0.009653614849858272
component_22,component_54,21,53,0.009652619388143435
component_04,component_58,3,57,0.00965136571055858
component_51,component_59,50,58,0.009649622200564423
component_21,component_09,20,8,0.009645598259608867
component_32,component_41,31,40,0.0096433501399531
component_39,component_33,38,32,0.009635455861518594
component_08,component_51,7,50,0.009634903109261295
component_53,component_27,52,26,0.009632399620945975
component_41,component_35,40,34,0.009631880622908096
component_05,component_23,4,22,0.009626350633547887
component_50,component_10,49,9,0.009619756752536457
component_41,component_15,40,14,0.009616767296332096
component_42,component_10,41,9,0.009614185993881641
component_06,component_03,5,2,0.009613205300992522
component_30,component_11,29,10,0.009612044088986416
component_27,component_36,26,35,0.009609037038722512
component_31,component_05,30,4,0.009607443000438032
component_14,component_36,13,35,0.009607044073073556
component_20,component_57,19,56,0.00960463086306973
component_52,component_15,51,14,0.009604616306858382
component_35,component_49,34,48,0.00960242303144554
component_29,component_01,28,0,0.009601975455226341
component_18,component_54,17,53,0.009601694684060469
component_37,component_44,36,43,0.009601171107555206
component_20,component_25,19,24,0.009598607016770622
component_06,component_31,5,30,0.009595910097912608
component_25,component_29,24,28,0.009595058962695191
component_49,component_30,48,29,0.009592608092140242
component_38,component_15,37,14,0.00958910480052122
component_34,component_35,33,34,0.00958701698684905
component_30,component_49,29,48,0.009582808343801208
component_21,component_06,20,5,0.00957909298058679
component_23,component_50,22,49,0.009578197095189367
component_25,component_33,24,32,0.009571752183846094
component_07,component_49,6,48,0.009567563930278578
component_24,component_07,23,6,0.009566336768624062
component_34,component_11,33,10,0.009562502785401161
component_56,component_09,55,8,0.009562132119920186
component_27,component_39,26,38,0.009560407222607203
component_60,component_57,59,56,0.00955900972219581
component_35,component_11,34,10,0.009558858850221785
component_43,component_07,42,6,0.009555065595867163
component_50,component_53,49,52,0.009554988408980503
component_54,component_31,53,30,0.009554680159248097
component_58,component_41,57,40,0.009554413944837137
component_22,component_13,21,12,0.009551882636779752
component_47,component_40,46,39,0.00955009669564566
component_39,component_03,38,2,0.00954963993012381
component_26,component_27,25,26,0.009548948205617247
component_03,component_30,2,29,0.009547697089616669
component_14,component_11,13,10,0.009547360501499291
component_22,component_16,21,15,0.009546057219069315
component_26,component_12,25,11,0.00954040415325208
component_39,component_20,38,19,0.009537280648110436
component_16,component_02,15,1,0.009535690260325858
component_27,component_41,26,40,0.009533047614331824
component_53,component_26,52,25,0.009528611347913163
component_18,component_30,17,29,0.009519150367657936
component_16,component_26,15,25,0.00951786248464348
component_58,component_15,57,14,0.009514130250462216
component_35,component_22,34,21,0.009511356173904417
component_60,component_59,59,58,0.009510517338074287
component_21,component_42,20,41,0.009509029896383137
component_31,component_35,30,34,0.00950757100082189
component_05,component_60,4,59,0.00950573946039146
component_13,component_20,12,19,0.009504963412553469
component_56,component_04,55,3,0.009500657153040493
component_27,component_15,26,14,0.009498552858819398
