split,component,rmse,mae,corr
val,component_02,0.6699190078807397,0.5293114527521959,0.6358643115866314
val,component_03,0.6784940721886783,0.5481040560612294,0.5378753418341757
val,component_04,0.7629970191422071,0.6087914337466281,0.5624916647947016
val,component_05,0.6710378125821482,0.5317065545733826,0.48266912848886945
val,component_06,0.6353064177840485,0.5112238561968039,0.5613564441647769
val,component_07,0.6634969378051246,0.5263950186920182,0.3806940001692524
val,component_08,0.7577490646958837,0.6089794449201397,0.6183426562496055
val,component_09,0.664019945220227,0.5143240981749527,0.6724825260423035
val,component_10,0.7145888488091389,0.5767333900786109,0.56032609152894
val,component_11,0.6385813436024924,0.5174812134550852,0.610214500969535
val,component_12,0.7538507620523468,0.5937971460498594,0.4922128817460563
val,component_13,0.7047408549039927,0.5670773337932399,0.5123915725843706
val,component_14,0.7072672773067051,0.5710199481304796,0.5078815999036526
val,component_15,0.5977799261849144,0.4606999980016419,0.5693489662977479
val,component_16,0.7457365011371274,0.609675409120461,0.5149499209499783
val,component_17,0.6995792549741027,0.5578340209554935,0.45370631547233153
val,component_18,0.7527790459168766,0.6013609311687899,0.3704389532024149
val,component_19,0.7313903198389015,0.5870628635252336,0.5579161361662837
val,component_20,0.6992394371287471,0.556762828582719,0.4668939911005372
val,component_21,0.6642189244831667,0.5178835478572403,0.44035928623659076
val,component_22,0.7267798473541252,0.5815446881924782,0.4639842540434953
val,component_23,0.7763535493304419,0.6147554100678765,0.366930499435513
val,component_24,0.7595944433149487,0.6187124956962408,0.4265579770862224
val,component_25,0.7699196488875675,0.6215450756022096,0.41951613136041743
val,component_26,0.7468897702183432,0.596952675405178,0.4593061526759052
val,component_27,0.7549937387535289,0.6108902145657505,0.3979798947233569
val,component_28,0.7190972021405398,0.5804279619653803,0.35312714539801277
val,component_29,0.615214141290596,0.4890941404462167,0.3486715921720287
val,component_30,0.7448707855615532,0.6059429079965868,0.2848720601383325
val,component_31,0.5633055279762996,0.45103830704754716,0.3696216087764543
val,component_32,0.7305191698043647,0.5921378750999773,0.25827327975424424
val,component_33,0.7503050432060623,0.6057953778550408,0.3387790874863348
