split,component,rmse,mae,corr
train,component_55,0.6043106635413024,0.4883793150839424,0.5528572006894633
train,component_56,0.6004554384741524,0.48141420457685724,0.4778662008369462
train,component_57,0.6066722990024515,0.47786308419088586,0.47642512228172734
train,component_58,0.5883970843258509,0.4700906518625278,0.5399624200284509
train,component_59,0.596972359683021,0.47898685317496514,0.4610299842765593
train,component_60,0.6191677934386446,0.49479299495122264,0.4650914317828287
val,overall,0.7214162367423996,0.5750207698168114,0.4380368755657326
val,component_01,0.6273888203261448,0.49927606657352,0.7665753218934733
val,component_02,0.6830070452133103,0.5470040945858448,0.6290458738562144
val,component_03,0.677679827982238,0.5479138841456832,0.5601689250682014
val,component_04,0.7696449503355565,0.6147399814571556,0.5632934669064014
val,component_05,0.6695364598563652,0.5298164821386814,0.5061848228656121
val,component_06,0.6424882517351206,0.5160232157980462,0.5604021222298317
val,component_07,0.6945238464439678,0.5493211131414312,0.37824290088510126
val,component_08,0.7352824516960375,0.5925507508873177,0.6191507636518963
val,component_09,0.6623398566144704,0.5172883227023838,0.6732984844010267
val,component_10,0.7347127241464237,0.5922769011209752,0.5387033221383607
val,component_11,0.6485712880785528,0.53000481219334,0.5976467448320166
val,component_12,0.761538514978152,0.6018254101455325,0.4967187227086881
val,component_13,0.7125861447484069,0.5697168582532706,0.5046788319273598
val,component_14,0.7224105296647405,0.5856102174338664,0.5076285372636994
val,component_15,0.6085331245311785,0.4752406416510293,0.5628882881548527
val,component_16,0.7652648737046652,0.6274704502240587,0.4930476806222535
val,component_17,0.7262091963781024,0.5777979219094416,0.4431534348485852
val,component_18,0.7735027599299406,0.620454120522766,0.3563648760946484
val,component_19,0.7409418000830338,0.5958471194472128,0.5442329450406572
val,component_20,0.7065354779765067,0.5630260253240602,0.4721420637281039
val,component_21,0.6782737753691206,0.5332741948244963,0.4285463923375557
val,component_22,0.7443199811185617,0.593450560564915,0.43566048630517434
val,component_23,0.7914967293662802,0.6326062898472308,0.37288127518450026
val,component_24,0.7731305702918653,0.6282043044245536,0.40944076721470263
val,component_25,0.7814022502473409,0.631903484341191,0.4117188032631419
val,component_26,0.7815519032727459,0.6260608700124455,0.43032689407978525
val,component_27,0.7736907987721457,0.6216130882319694,0.3802069486794995
val,component_28,0.7344245067331722,0.597825425699868,0.3503985862082555
val,component_29,0.6311184282587217,0.5005664432592484,0.3516746461088484
val,component_30,0.7650583151670686,0.6249809377439727,0.2763294134176798
val,component_31,0.5861688468594349,0.4655835794498495,0.3579975014246402
val,component_32,0.7478588301419632,0.6034007612231065,0.25957580556463355
val,component_33,0.7648179794866841,0.6168630704799685,0.33621536987720785
val,component_34,0.7974584356281906,0.6373369040313916,0.3571895387199974
val,component_35,0.7351010593930838,0.5801947302629216,0.37922367256309863
val,component_36,0.7125244645635439,0.5763156758019784,0.42130536374439237
val,component_37,0.7688982692899803,0.6212058611417148,0.333233287246764
val,component_38,0.6670859075246868,0.533376465129227,0.5137784251174
val,component_39,0.8081897321590036,0.6523771626386715,0.23856279887272522
val,component_40,0.707117657514659,0.5580807273282858,0.2818891268112485
val,component_41,0.7271921173482333,0.5885438858622724,0.47467602113814905
val,component_42,0.7305699880403502,0.5709882520877912,0.3336453782447161
val,component_43,0.7487589544584363,0.5874363838890689,0.19300796435630282
val,component_44,0.748472395940483,0.6031018766166707,0.31650379925442035
val,component_45,0.7680914010543133,0.609745796663617,0.3960446051879448
val,component_46,0.7736140049989029,0.6279567128990886,0.3316322850978026
val,component_47,0.7308802103025225,0.5734474434428108,0.2812427485147043
val,component_48,0.7083806326112144,0.5646000903727735,0.21253641374104648
val,component_49,0.7012409808619281,0.5623852996298568,0.38382754239792466
val,component_50,0.7527167591055597,0.5946010566704397,0.30863029760538685
val,component_51,0.7342859654448162,0.5766355197820991,0.20036924263242092
val,component_52,0.7222003565594439,0.5679583561843876,0.279912564607876
val,component_53,0.5820654251146808,0.4728131385554728,0.3568587155553889
val,component_54,0.662021301637861,0.5130240070136662,0.4070589219023123
val,component_55,0.7225651900478964,0.580863370509855,0.3634204539412083
val,component_56,0.6990786128809153,0.5534992039095944,0.27009650175668687
val,component_57,0.7041260336279996,0.5594590388987689,0.3162084576730071
val,component_58,0.7502036045066355,0.5991967610484195,0.4590786407994267
val,component_59,0.6559700384459856,0.5193004870641171,0.19395843223730935
val,component_60,0.7388843323216631,0.5872645818152856,0.3041249961410926
test,overall,0.727057500380233,0.5790577464386248,0.4444711929750326
test,component_01,0.5583589185791923,0.4494912531608742,0.7614773301348094
test,component_02,0.6960646066574961,0.5475482066168018,0.634053336779757
test,component_03,0.6440775620460011,0.5260150482118233,0.6387189291169382
test,component_04,0.7516787920746745,0.5954781117340398,0.53601161901249
test,component_05,0.6353835315925958,0.5042159174424716,0.5525059258518124
test,component_06,0.6656148603637455,0.5380422973907273,0.6015675303527039
test,component_07,0.6753492272827043,0.5485005070339786,0.49784758808874335
test,component_08,0.7283885458233107,0.5686520096005363,0.39243136521742555
test,component_09,0.6937162322803547,0.5443893388064439,0.573913291534272
test,component_10,0.7085646766919388,0.5616880454049894,0.5022058428877486
test,component_11,0.6421038956075845,0.5068653658548966,0.6269473323961327
test,component_12,0.7809244924776194,0.6337140797348055,0.43571807643890814
test,component_13,0.7636808884922769,0.6208413475595591,0.48388508348697773
test,component_14,0.727426972957644,0.5879811978359999,0.5120351879199369
test,component_15,0.6614231142359503,0.536243740210293,0.4405272406820068
test,component_16,0.7471774340457971,0.6048790225658909,0.5067727606854634
test,component_17,0.7729183714553459,0.6225505306266285,0.4684238163856054
test,component_18,0.7622411496318618,0.6255755924619392,0.3753359341924279
test,component_19,0.7528943388944798,0.5957755460529334,0.4024873385735065
test,component_20,0.7008714182709135,0.5553187222512845,0.4330054689228248
test,component_21,0.6946031111786392,0.5573400915600839,0.4692045750934855
test,component_22,0.7765026052861003,0.6237426352341702,0.421921626813522
test,component_23,0.7925693701991295,0.6335744800438644,0.36954464105830265
test,component_24,0.7749236775868787,0.6185558990891384,0.3795911148765159
test,component_25,0.7552868408362993,0.6045904931372889,0.39943947788611955
test,component_26,0.678678103370227,0.5334751684581476,0.5322103928119797
test,component_27,0.7671751171067688,0.598801713875859,0.40331795617544725
test,component_28,0.7688861610069394,0.6128519132492593,0.39639354789344416
test,component_29,0.6603463341686632,0.5302943140603383,0.2898347873110762
test,component_30,0.8182456764358589,0.6392542775920697,0.2979565987581938
test,component_31,0.5876926373726616,0.4654518387465188,0.3392401118336157
test,component_32,0.8263499553514301,0.6534994102912935,0.20693660600831285
test,component_33,0.8000970806878274,0.6351712872687957,0.3366435483582602
test,component_34,0.7852697294286287,0.6253021063493759,0.3083371842562045
test,component_35,0.6511513174879179,0.5185851535199102,0.4184638238636646
test,component_36,0.7207107446664005,0.5664809891422667,0.4138721526832991
test,component_37,0.7964559497023695,0.6354448253286605,0.32935197793768617
test,component_38,0.7304759387313686,0.5854700312960311,0.5176458012102185
test,component_39,0.7585105929748521,0.6106963065802936,0.3295772897643054
test,component_40,0.7044198900990336,0.5592005892689399,0.35119977290529997
test,component_41,0.7493833014690945,0.6022496608960821,0.4274736207743081
test,component_42,0.7266605889796333,0.5851069962644888,0.361976847100874
test,component_43,0.7974849221828442,0.6402859472969676,0.26356158166870186
test,component_44,0.7725348393138525,0.627783503108175,0.35110173871826394
test,component_45,0.77959179418521,0.6170380273758557,0.3446502620967281
test,component_46,0.787656520039011,0.634159464186618,0.34238110091403934
test,component_47,0.7146582792052819,0.5868920078940896,0.32035030916301904
test,component_48,0.7612884082164738,0.598634480566566,0.29529651660589135
test,component_49,0.6867642888454505,0.5580746537325315,0.36868082312695416
test,component_50,0.7118008373244378,0.5748859783359885,0.31547107496651383
test,component_51,0.7283288419608674,0.575329169416978,0.2209309600551586
test,component_52,0.7467091354435588,0.5980188450047342,0.27003124255087657
test,component_53,0.5831850269284519,0.469771843690322,0.3638777234719463
test,component_54,0.6993606964003312,0.5510150593599101,0.4421864382371649
test,component_55,0.6761328803775499,0.5413862951702697,0.4404467661440699
test,component_56,0.7638313261301101,0.6017870753776758,0.24561897489489082
test,component_57,0.7460955534860124,0.5873160646180563,0.2860673076618571
test,component_58,0.7239803024337913,0.5814744458459404,0.3685021029281903
test,component_59,0.7132323939434013,0.5706329006398357,0.25716274568168046
test,component_60,0.7015878190598744,0.5600729628871818,0.2422772501287754
