source,target,source_index,target_index,total_effect
component_06,component_05,5,4,1.7959764397425553e-05
component_06,component_07,5,6,0.0003233220749155814
component_06,component_08,5,7,1.0746026318910862e-06
component_06,component_09,5,8,9.906538577350277e-06
component_06,component_10,5,9,1.4706630528314584e-05
component_06,component_11,5,10,0.0001539156669714625
component_06,component_12,5,11,0.00030714809684109377
component_06,component_13,5,12,2.3179519094752088e-07
component_06,component_14,5,13,1.0328539854075499e-05
component_06,component_15,5,14,1.609913718666946e-05
component_06,component_16,5,15,1.6195684785276273e-06
component_06,component_17,5,16,0.00032014406023005425
component_06,component_18,5,17,0.0002303231319242337
component_06,component_19,5,18,8.179672656229729e-06
component_06,component_20,5,19,3.617247357777636e-05
component_06,component_21,5,20,0.014013032995137138
component_06,component_22,5,21,1.2567781025430211e-05
component_06,component_23,5,22,2.29877568319847e-05
component_06,component_24,5,23,1.0002282449150655e-05
component_06,component_25,5,24,2.7713202415453685e-05
component_06,component_26,5,25,0.0005326174507715686
component_06,component_27,5,26,0.0003641956432993061
component_06,component_28,5,27,8.234552054568385e-07
component_06,component_29,5,28,6.037845448296467e-06
component_06,component_30,5,29,0.0002460793931343806
component_06,component_31,5,30,2.5169330890445112e-05
component_06,component_32,5,31,1.6733327459457398e-05
component_06,component_33,5,32,0.0004298994739161502
component_06,component_34,5,33,0.0005931413405355161
component_06,component_35,5,34,1.2708660508407637e-05
component_06,component_36,5,35,3.462993355930394e-05
component_06,component_37,5,36,0.025408424377857036
component_06,component_38,5,37,1.5945619792428698e-05
component_06,component_39,5,38,0.00011266386752766604
component_06,component_40,5,39,0.00031934205951964303
component_06,component_41,5,40,0.01864051135552806
component_06,component_42,5,41,0.0008887216745089323
component_06,component_43,5,42,2.4135160240025986e-05
component_06,component_44,5,43,0.00044462285313154445
component_06,component_45,5,44,0.00019221407627704603
component_06,component_46,5,45,0.0011413921235529864
component_06,component_47,5,46,1.5338284598724468e-05
component_06,component_48,5,47,1.4368434585128895e-06
component_06,component_49,5,48,2.444870919527505e-05
component_06,component_50,5,49,0.0008166354594789593
component_06,component_51,5,50,0.0004615409148710012
component_06,component_52,5,51,0.0007921197768051295
component_06,component_53,5,52,1.9794704467268768e-05
component_06,component_54,5,53,2.369839805767243e-05
component_06,component_55,5,54,3.649235962574567e-05
component_06,component_56,5,55,0.06177961653630768
component_06,component_57,5,56,0.00030025764505494176
