source,mediator,target,source_index,mediator_index,target_index,amce
component_01,component_58,component_33,0,57,32,0.00030434455896024236
component_01,component_02,component_34,0,1,33,1.528884923704109e-08
component_01,component_14,component_34,0,13,33,9.120430404325794e-07
component_01,component_27,component_34,0,26,33,5.884037178882955e-07
component_01,component_41,component_34,0,40,33,1.1449102910393936e-07
component_01,component_58,component_34,0,57,33,3.15613001392103e-09
component_01,component_02,component_35,0,1,34,1.978041469805283e-05
component_01,component_14,component_35,0,13,34,1.1221082874717765e-06
component_01,component_27,component_35,0,26,34,8.150639252681714e-07
component_01,component_41,component_35,0,40,34,4.236601168350603e-07
component_01,component_58,component_35,0,57,34,0.00028939695235985675
component_01,component_02,component_36,0,1,35,1.3717896613894922e-06
component_01,component_14,component_36,0,13,35,5.784857142131779e-07
component_01,component_27,component_36,0,26,35,3.439150498240428e-07
component_01,component_41,component_36,0,40,35,6.435058854993846e-06
component_01,component_58,component_36,0,57,35,1.0108423462478486e-08
component_01,component_02,component_37,0,1,36,9.957285997837117e-06
component_01,component_14,component_37,0,13,36,1.9973264085213523e-05
component_01,component_27,component_37,0,26,36,5.348245203586969e-05
component_01,component_41,component_37,0,40,36,2.7218130326049223e-07
component_01,component_58,component_37,0,57,36,8.283463918433462e-06
component_01,component_02,component_38,0,1,37,0.0005729183337701848
component_01,component_14,component_38,0,13,37,8.407820546798515e-05
component_01,component_27,component_38,0,26,37,4.04269378856077e-07
component_01,component_41,component_38,0,40,37,5.246047444162837e-07
component_01,component_58,component_38,0,57,37,3.343992557139936e-06
component_01,component_02,component_39,0,1,38,1.4599030384906753e-07
component_01,component_14,component_39,0,13,38,5.135980875116688e-07
component_01,component_27,component_39,0,26,38,4.6625129342031375e-08
component_01,component_41,component_39,0,40,38,6.375423407764693e-06
component_01,component_58,component_39,0,57,38,2.0710876792921296e-08
component_01,component_02,component_40,0,1,39,8.587777021555684e-06
component_01,component_14,component_40,0,13,39,1.276616834930186e-06
component_01,component_27,component_40,0,26,39,1.5609248521252727e-08
component_01,component_41,component_40,0,40,39,1.0087543893294703e-08
component_01,component_58,component_40,0,57,39,5.0227757687700376e-08
component_01,component_02,component_41,0,1,40,4.7868370496989416e-08
component_01,component_14,component_41,0,13,40,1.358777120234553e-07
component_01,component_27,component_41,0,26,40,8.895802052778895e-07
component_01,component_58,component_41,0,57,40,9.096581234369187e-06
component_01,component_02,component_42,0,1,41,1.698708620848778e-06
component_01,component_14,component_42,0,13,41,0.0002762667960503016
