source,target,source_index,target_index,pairwise_ei,linear_coefficient,abs_linear_coefficient,same_nonzero_support
component_28,component_23,27,22,0.00046459086894722675,0.0,0.0,False
component_32,component_48,31,47,0.0004640255974226441,0.0,0.0,False
component_17,component_44,16,43,0.0004624974914458396,0.0,0.0,False
component_12,component_19,11,18,0.0004624172651068757,0.0,0.0,False
component_37,component_29,36,28,0.00046205912895976335,0.0,0.0,False
component_41,component_24,40,23,0.00046064975281166493,0.0,0.0,False
component_25,component_20,24,19,0.00045593327109754204,0.0,0.0,False
component_18,component_14,17,13,0.000454753765477466,0.0,0.0,False
component_57,component_50,56,49,0.00045431158409201113,0.0,0.0,False
component_14,component_08,13,7,0.0004533023610093802,0.0,0.0,False
component_36,component_32,35,31,0.00045324041374090497,0.0,0.0,False
component_52,component_26,51,25,0.0004524568996448812,0.0,0.0,False
component_53,component_35,52,34,0.00045197262352174886,0.0,0.0,False
component_24,component_38,23,37,0.0004517379151815395,0.0,0.0,False
component_20,component_05,19,4,0.00045020475648284127,0.0,0.0,False
component_09,component_05,8,4,0.00044984833288626053,0.0,0.0,False
component_39,component_33,38,32,0.00044938427015469266,0.0,0.0,False
component_11,component_54,10,53,0.00044798617810081485,0.0,0.0,False
component_34,component_31,33,30,0.00044678940488552914,0.0,0.0,False
component_04,component_34,3,33,0.000446101076465778,0.0,0.0,False
component_57,component_45,56,44,0.00044585317565358387,0.0,0.0,False
component_35,component_32,34,31,0.00044386127762073417,0.0,0.0,False
component_52,component_06,51,5,0.0004415018319968827,0.0,0.0,False
component_13,component_31,12,30,0.00044070164495504797,0.0,0.0,False
component_26,component_31,25,30,0.0004403410727034175,0.0,0.0,False
component_54,component_35,53,34,0.00044018822360493014,0.0,0.0,False
component_10,component_24,9,23,0.0004390524791895831,0.0,0.0,False
component_45,component_52,44,51,0.0004386149617479542,0.0,0.0,False
component_07,component_38,6,37,0.0004384748461120102,0.0,0.0,False
component_03,component_54,2,53,0.00043809622809816613,0.0,0.0,False
component_14,component_24,13,23,0.0004337746957506724,0.0583031918453312,0.0583031918453312,True
component_50,component_37,49,36,0.0004326834474744578,0.0,0.0,False
component_51,component_33,50,32,0.0004321364381004233,0.0,0.0,False
component_20,component_15,19,14,0.0004320347625578734,0.0542826096705791,0.0542826096705791,True
component_39,component_07,38,6,0.00043115613274480867,0.0,0.0,False
component_36,component_12,35,11,0.00042689805197263045,0.0,0.0,False
component_45,component_24,44,23,0.00042608389984209727,0.0,0.0,False
component_50,component_38,49,37,0.00042379337456947743,0.0,0.0,False
component_40,component_59,39,58,0.0004222491827975289,0.0,0.0,False
component_43,component_49,42,48,0.0004216495730908687,0.0,0.0,False
component_21,component_41,20,40,0.00042164192024018445,0.0,0.0,False
component_23,component_48,22,47,0.00042071522153558436,0.0,0.0,False
component_42,component_03,41,2,0.00042064974643484757,0.0,0.0,False
component_46,component_33,45,32,0.00042046354820706084,0.0,0.0,False
component_41,component_06,40,5,0.00042024472114893024,0.0,0.0,False
component_32,component_39,31,38,0.00041993832638715273,0.0,0.0,False
component_18,component_24,17,23,0.0004197880409339712,0.0,0.0,False
component_32,component_35,31,34,0.0004197057321756924,0.0,0.0,False
component_48,component_45,47,44,0.0004190218864821895,0.0,0.0,False
component_14,component_54,13,53,0.00041701418795585753,0.0,0.0,False
component_13,component_37,12,36,0.0004163739803555029,0.0,0.0,False
component_13,component_55,12,54,0.000415653043947657,0.0,0.0,False
component_13,component_20,12,19,0.0004153489771117657,0.0,0.0,False
component_38,component_13,37,12,0.0004140774772566591,0.0,0.0,False
component_08,component_56,7,55,0.00041327985834784225,0.0,0.0,False
component_18,component_39,17,38,0.0004123933916489345,0.0,0.0,False
component_54,component_53,53,52,0.0004120844239412957,0.0,0.0,False
component_24,component_21,23,20,0.00040672271493752746,0.0,0.0,False
component_44,component_36,43,35,0.0004060708598514464,0.0,0.0,False
component_17,component_54,16,53,0.0004058123249978895,0.0,0.0,False
component_16,component_29,15,28,0.0004052736281814931,0.0,0.0,False
component_50,component_35,49,34,0.00040520227186171984,0.0,0.0,False
component_51,component_10,50,9,0.00040425031445482496,0.0,0.0,False
component_28,component_36,27,35,0.00040052721536294007,0.0,0.0,False
component_52,component_44,51,43,0.0003986661941733084,0.07247595410183,0.07247595410183,True
component_09,component_06,8,5,0.00039812061798029667,0.0,0.0,False
component_31,component_58,30,57,0.0003975265434238398,0.0,0.0,False
component_04,component_53,3,52,0.00039748710966112564,-0.0846646823531866,0.0846646823531866,True
component_17,component_31,16,30,0.00039735173496043544,0.0,0.0,False
component_27,component_46,26,45,0.00039666572380560593,0.0,0.0,False
component_23,component_34,22,33,0.0003965283775133798,0.0,0.0,False
component_03,component_12,2,11,0.0003952387580037174,0.0,0.0,False
component_06,component_32,5,31,0.00039477115019794407,0.0,0.0,False
component_24,component_37,23,36,0.0003942309650306669,0.0,0.0,False
component_34,component_43,33,42,0.00039420357298962345,0.0,0.0,False
component_28,component_31,27,30,0.00039385748154245614,0.0,0.0,False
component_60,component_28,59,27,0.00039249011742206426,0.0,0.0,False
component_01,component_57,0,56,0.0003921873229962179,0.0,0.0,False
component_50,component_58,49,57,0.0003905708085506583,0.0,0.0,False
component_46,component_16,45,15,0.00039043403114795796,0.0,0.0,False
component_03,component_21,2,20,0.00038858013339038963,0.0,0.0,False
