,component_01,component_02,component_03,component_04,component_05,component_06,component_07,component_08,component_09,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60
component_11,9.278330062206067e-05,6.971827604627959e-06,0.020382847817443733,0.0003267754518310118,0.0011933647781256287,5.476447287063125e-07,1.902186695669336e-05,2.4388055587815093e-05,0.022016442932515187,0.0007918614625857983,7.335100439600179e-06,0.02628871091402728,1.5885492241487919e-06,0.0007684506719458843,0.0013503751430608423,3.6494275520352605e-07,2.2925760890570564e-06,6.75473619447527e-05,0.0008649537752515994,0.0008548791615831498,2.094907457534865e-05,4.427133766509889e-05,0.0008332189686363131,3.6271795466112304e-05,0.0003846651046846287,9.620844425439762e-05,0.0012481305293317929,2.98471269738811e-05,2.026847987460358e-05,1.7028167887250912e-05,0.00048401394041811284,7.340924907642586e-06,6.338186258541405e-06,1.7908904467242488e-05,0.00029961605921917145,2.554137744715252e-05,2.870355865257745e-05,0.00010526501827717264,0.02798956976696695,0.00014326281040755368,1.5106034202836747e-05,3.5829911051697167e-06,0.0018012421313002506,0.0007562265115832023,0.0006687534331633295,4.54753260105658e-05,7.996414852521271e-05,5.5470626028921305e-05,0.0005062354516279856,0.02728174673599392,0.0008371292283358143,1.3896468825067853e-06,2.2142381877007283e-05,0.00013997496333287396,0.0004398915553829078,0.00011843579773041328,1.1033499700866946e-06,0.0005303774014648137,0.0006903946073683917,0.0011734299000917944
component_12,0.002814203517516253,0.00013236423183227231,2.9180916079485762e-05,3.460305884484632e-05,0.0452712857313841,1.6920091622402652e-05,1.2420148843016647e-05,3.677704802414632e-06,1.0583796755219534e-05,0.0007846190561552923,6.071372316401804e-06,0.0016414640570856663,1.1396719403792835e-07,0.00030978439629049463,0.051117984398039266,6.928652025647079e-06,2.4077709907232215e-05,0.00012895515589767597,4.998155168983911e-06,5.793763905069541e-05,5.7285049152082955e-05,0.0001747485106610144,0.029159819043050282,0.00024049583920183597,3.202983661645934e-05,0.002616421124535659,0.04747920058952475,0.0010445475370510987,3.0013246487872244e-06,3.793747437900543e-05,0.0028921753709658694,3.1364159711372836e-05,7.4430241999593435e-06,0.00046054002646142306,0.0007101563265780669,0.0002334737332649135,0.00013523373005947022,0.00047876319143973976,0.0016698002830298694,0.00447219638582425,5.105711741199934e-06,4.856391843848529e-06,3.283998770270975e-06,0.02737154993770903,0.00023513395882098517,3.8683672078577085e-05,0.00013149687430534396,6.358161349764239e-07,8.527903015166615e-05,0.00026707264500114335,3.856009590642284e-05,1.0546386009245046e-05,9.414424111198918e-05,0.0033660613885767464,9.62124749069067e-06,1.912697616220218e-05,4.43704356956249e-06,4.090894587685058e-07,0.0005888274195624506,2.900038468216701e-06
component_13,0.0006649465000243226,3.2952547732608725e-05,0.00048643294259159356,0.010260836087089728,2.0017285088415987e-05,4.918918903085373e-07,2.3493095108411374e-05,1.2163690612129938e-05,6.401775605645559e-06,8.420488425933445e-05,0.00016630995156856758,0.00013791970925402776,3.72510068197626e-07,3.1862158970635566e-05,1.6597681392848236e-05,1.7249126401994099e-06,0.0003851751708979319,3.892870804280655e-05,4.465266748148034e-06,3.519997831149812e-05,6.088465719633996e-06,0.000808272537827445,0.00077196826318551,0.00015263017326775394,0.00017229729761981336,4.200132162623683e-06,0.0005885479954458992,2.7653036762730526e-05,1.8788922491018147e-06,0.000583389091347358,3.878114105785865e-05,9.502843395404527e-06,0.009815311391787469,0.000283403791492084,8.401903318918088e-06,0.00022991735573090922,2.286476540858406e-05,2.3531155741223153e-05,1.5083253695031352e-05,5.299546992128771e-06,1.1919850824284711e-05,2.4878874426075296e-06,0.00031460910828095466,0.00048327283376957647,2.1668265992403277e-05,0.014874433892995208,3.4511429175641344e-05,1.9218983428660078e-05,0.0005505188594396959,2.2511391306360502e-05,8.217653578929515e-06,0.01942909312671478,0.00016898367994642896,0.0008230942284063333,0.00080349829643112,8.578798800825614e-06,1.2137076956365577e-05,0.022293093128245907,0.000504835927938804,5.6897384982263205e-05
component_14,0.00023191974636623138,1.9207814765012803e-05,0.0009971741839264812,0.021917503596962894,3.534708880570186e-05,4.952712806381908e-06,1.6943241635827363e-06,0.00043567303948886164,6.179914754102688e-06,4.260706329503131e-05,0.0001876026089089961,0.0003635893433338707,5.211971475669531e-07,0.0004665341347632645,1.85595022109762e-05,1.005439784129144e-06,0.00045039650779374297,4.4917035030989804e-05,0.00042171913703680164,0.0007570323629658607,2.5587727075047705e-05,1.4318907601875314e-05,2.8412694367567644e-05,1.2070708835285057e-05,3.350436687032857e-05,0.00015859928695185265,1.8325672934183364e-05,1.0177844340807647e-06,2.7001192597486745e-06,0.000868825086214487,0.03910829870768889,0.00037957032581885613,2.0926899423546474e-05,0.00019652619371633777,2.2698729239591176e-06,0.00027871750899275213,4.574828304362297e-05,0.00022918069682751317,7.762765597536905e-06,0.0004261433293555378,2.8887137224305435e-05,0.00026496385347409164,0.000404675029757189,0.0010254654481556614,3.5424128627655434e-05,0.017335902356022535,2.0991807186679784e-05,2.673619878816885e-05,2.616623371065099e-07,0.0002751791482132332,2.9836128507795178e-05,2.415783959192399e-06,0.017349932289226645,0.0002632705193070311,0.001190579150678138,0.0180209532792725,2.6210365011851038e-05,1.8248128091371497e-07,7.053166447079833e-06,0.0001109467260981734
component_15,0.021963549323196847,0.0009206596510895737,3.88218763907951e-05,1.0506471499968394e-05,0.010325311790369628,7.026363696298426e-07,3.7513067951613064e-05,7.969037197528155e-06,7.490272512523948e-05,8.215389478708133e-05,8.945883685371086e-05,0.01352505552347068,7.816620864920681e-08,0.00019162680330116178,0.0006904231748767218,4.819225154826179e-05,8.570934752876386e-06,0.0009090985853676707,9.684596101731672e-06,0.0003271661995898392,2.1718936547008756e-05,0.001302549191601355,0.0011171263210302533,3.871751891634356e-06,7.689811792698486e-06,0.0005935474420678977,0.000660588304753463,4.00171052325242e-05,1.0214224174410227e-06,9.231383415626903e-06,0.018389842071655598,0.00019872369621911663,8.411286748388309e-05,8.037653102335322e-05,2.102385487459492e-05,5.9454439497519545e-05,3.915845048678241e-05,4.97156202639132e-05,0.0004554554860993898,0.0012081700518684437,6.526320824143386e-06,3.107109170826286e-06,5.7160914308878335e-06,0.00037275546172132524,6.592493642581239e-06,0.00012522818928007373,3.5927250453234036e-05,2.6774244625167185e-06,1.1667623997069394e-05,1.4934751523354467e-05,0.00014537963971475435,4.7929661084287506e-05,0.00030852984521134296,0.0006220503343619264,2.7449274275499804e-05,5.582310345230389e-06,5.6036197085358855e-06,2.8604974253041516e-06,0.010054454856001531,8.334870833017124e-06
component_16,0.0006461339817141749,5.0113740164069046e-05,2.8543366167665302e-05,2.9758292538009034e-05,1.4541244055253342e-06,6.79973113771851e-06,2.2238056224931675e-05,1.2483792641972693e-06,4.204377882488202e-06,6.798676907682337e-05,9.786681824662555e-06,2.1057216321599104e-05,0.0007053344702243611,0.0007327533982636998,1.1084637845516564e-06,2.623221262225245e-06,1.5441569249462038e-05,5.041723190617524e-05,7.2064471562495805e-06,2.3234176492646898e-05,2.6325020424275796e-05,0.0007953883533170479,0.0007413864801131281,0.0008652592618444253,1.0549919519403807e-05,0.0005961866681640117,1.954895835340731e-05,2.6557552386105048e-05,8.703034069847639e-06,0.023413617477161745,6.452009749928187e-05,0.0006871225226328676,0.0004520265405255039,0.0008642693123157946,7.596014567716769e-06,2.6081855533573225e-05,1.6689984147561908e-06,8.131187224243984e-06,4.357077772922764e-06,6.847478517279014e-06,0.00032522905129214524,0.0003420177376551278,9.940063538039896e-06,0.04069651833983494,0.0006613668094244476,0.00040623588458130796,3.875567476968461e-05,0.04406034686914732,1.949795899492866e-06,0.0006755960402553197,1.7425648837415646e-05,1.6852700293886906e-05,3.919810508404025e-05,0.0006293500286668608,2.8168922682415666e-05,0.023273142009343824,0.00041574713784189095,0.02189681673330374,0.0005034293486440836,2.986849342349406e-06
component_17,5.012379279700402e-05,2.0047415249700774e-05,3.2663525116887855e-05,2.613183038223216e-05,0.01220532870460465,1.4090645500417416e-05,7.649578221115591e-06,8.578406646119706e-06,2.4350056982186473e-06,0.0005697072913218822,4.380228325023375e-06,0.017698868542419314,2.0832545502596876e-05,2.6851783201425617e-05,0.0009033807109499216,1.049388965251874e-06,1.5099639622967019e-05,5.665663798002003e-05,2.614944968710386e-06,3.351532684482877e-05,2.63315693793072e-05,0.00024234652643585463,0.0005159166029871532,1.1244652000669904e-05,2.3525569351198517e-05,0.0007209467703541561,0.0008394839029122922,1.848089030245328e-05,0.0005916879367681559,0.0005146790655326231,0.0005235492521391937,0.01977988426471616,0.0002310298684255898,5.167962306923659e-05,2.5016253702957164e-05,7.893765578909979e-05,3.694033847198868e-05,0.00041794324694904454,0.00044993085454841486,0.0011998563584311333,9.070459585730471e-06,0.00074035309338485,9.056886121277938e-06,0.0012402544614453558,0.023179429093611027,0.00033794742713171927,0.026691757969529994,2.3155758881804037e-05,9.159084565474028e-06,0.0002417785501142718,1.2151941866861841e-05,2.7015048063517124e-06,1.4437659740151762e-05,0.0010596824669337848,1.0032057589652856e-05,0.0003998914822402227,0.0004590727369452019,5.460339462181164e-07,4.1564122667527344e-05,2.7248853513189052e-06
component_18,8.009099020261402e-05,0.00042559396024627273,2.720072913535947e-05,2.6632049827037768e-05,0.0009460397178344878,1.327887700341112e-05,1.1399729776734867e-05,2.947043921370706e-05,0.02038520119344194,0.0008954295895969924,1.163801125279712e-06,0.020927937544568936,1.6624446876828434e-05,2.4138048817221317e-05,0.0010680573384242965,2.227786475201333e-05,1.4212768339803657e-06,5.3429262030275136e-05,0.0005886011043490197,0.0003029166961511257,0.0004251899852779165,2.828876402242321e-05,0.0006265083569532685,5.845368765669381e-06,5.769886124957316e-05,8.451051019188118e-05,0.0009933539165993327,2.2442449324919122e-05,0.0004717641119002102,0.00040263267300498615,0.00037921129032638144,0.027596821519377205,0.0003156454150983036,0.023040381255766015,1.5243160935817962e-05,3.012070683821493e-05,4.354492100863305e-06,0.0003586133932420887,3.711055613014088e-05,9.768521974236892e-05,1.1386658260403263e-05,0.0006933541710083606,2.8797754077395773e-06,0.0005943348966976934,0.0006283215232834665,2.6127043441379677e-05,0.021040629758464085,1.935368044713501e-05,2.7322668498037076e-06,0.0006818740997580905,2.8851367415215438e-05,3.130230306668826e-05,0.00048350104481907153,0.0001366289101629871,1.291086920002932e-05,3.9269891520002095e-05,0.0006426636893837841,0.0004918985766509528,3.858756441630597e-05,6.774423766478462e-06
component_19,0.0004046490865023955,3.7923087953035604e-05,0.0001943031264336697,3.6360982563122e-05,4.770574010187681e-06,8.299721770655273e-06,0.00027287609827620436,0.018864619183646777,3.850347095838341e-06,2.129744060663396e-05,2.155492628685761e-05,9.818295710709774e-06,2.0693240579924362e-07,0.0004926494892570536,8.246523552638386e-07,1.9850973070848044e-06,1.3733913682977053e-05,5.5699984639776563e-05,0.00021103418985218256,3.460038277698529e-05,1.830389533367186e-05,3.2635981679729695e-05,2.2427268892104767e-05,7.836095380419665e-07,0.028997109785621453,0.0001876950157958772,4.635400500725369e-06,8.0337770441734e-07,3.4025082511589538e-06,5.16215416915992e-06,5.9622047887554856e-05,4.430115913381317e-06,7.636911948838857e-06,0.0006110541030120861,1.2596020123178962e-05,0.01943987626184081,0.00026600425349533434,0.000369457436515763,0.0010197358037968064,0.0002628528368848523,0.0002740919502221613,0.00044480485183247346,2.3649729432965883e-05,6.7407082846358605e-06,9.80332340900913e-06,0.0003552102008847901,3.7054466596746076e-06,5.578546008801925e-06,1.8636035053133087e-05,0.02314303008062649,0.0003562163752983454,7.394285532199368e-06,2.184405602716938e-05,8.53095618295669e-06,0.0003601018443194848,0.021713765301645153,0.0001562931193593201,1.4079640291893288e-07,0.0005297029465053079,2.4466443607937712e-05
component_20,8.215559164921288e-06,9.807003242090457e-07,0.00012329898152841558,0.0009243988110426527,1.322345751232863e-05,3.0021095612202027e-07,0.0009758261777673582,1.4752659776348217e-05,4.789024758142086e-06,7.82389983326925e-06,5.2366354907247017e-05,0.0002733943263182209,9.111226121146289e-06,0.023923766800614994,1.4210607715126068e-05,5.133510158918211e-08,1.7994922526670446e-05,0.00017575736012516454,1.0887410561427086e-05,4.853529144981941e-05,0.022333627075323742,3.6598734420179955e-05,3.752576030544074e-05,0.00039463568932729246,0.0010549738244323506,9.52942209331387e-06,3.5316473608754284e-05,1.3442278378047766e-06,0.00025828594958524266,0.0002517194693663903,0.0023845313102243974,3.3870347631277415e-05,1.2242650948657201e-05,1.635102722544808e-05,1.0023030765072544e-06,3.701762997235937e-05,0.0005574817979205376,0.0005104078486696846,3.923187735140541e-05,0.0005578121434113258,0.016967339954946974,1.4951733540569701e-05,1.9103747926851603e-05,7.536482400489208e-05,0.0001750875356311012,0.0004497102509621116,1.527554465354107e-05,1.1190518267144508e-05,1.4889774798659355e-05,1.6322535239341052e-05,0.033700912406590934,0.0004996048221647727,0.0004390823392647009,2.4264584140280228e-05,5.6965171472289615e-05,0.0009785221908407704,0.0004761649726479013,3.195972950523269e-07,4.836232969027078e-05,0.01579328562998586
