source,target,source_index,target_index,ei,bias_correction
component_16,component_47,15,46,0.07178000563312656,0.00012214486198658392
component_25,component_15,24,14,0.06801066370870079,0.00012214486198658392
component_15,component_15,14,14,0.0652022339183731,0.00012214486198658392
component_44,component_44,43,43,0.06104356976647555,0.00012214486198658392
component_52,component_52,51,51,0.06067110793761633,0.00012214486198658392
component_54,component_54,53,53,0.06002494598066346,0.00012214486198658392
component_29,component_29,28,28,0.05893636676169788,0.00012214486198658392
component_01,component_27,0,26,0.058689354663633814,0.00012214486198658392
component_19,component_45,18,44,0.05806341176852521,0.00012214486198658392
component_13,component_25,12,24,0.04979746543406459,0.00012214486198658392
component_57,component_57,56,56,0.04939790352490733,0.00012214486198658392
component_08,component_54,7,53,0.04859957491144476,0.00012214486198658392
component_01,component_41,0,40,0.047541093844482796,0.00012214486198658392
component_08,component_19,7,18,0.0460572714826879,0.00012214486198658392
component_12,component_29,11,28,0.04602013475538173,0.00012214486198658392
component_47,component_47,46,46,0.04595454521150208,0.00012214486198658392
component_04,component_45,3,44,0.044300407813081435,0.00012214486198658392
component_19,component_17,18,16,0.044107261826964575,0.00012214486198658392
component_14,component_30,13,29,0.04388182627954364,0.00012214486198658392
component_08,component_06,7,5,0.041882374462328786,0.00012214486198658392
component_07,component_03,6,2,0.04160941919985654,0.00012214486198658392
component_43,component_22,42,21,0.040750166916133854,0.00012214486198658392
component_06,component_52,5,51,0.037004371351570566,0.00012214486198658392
component_27,component_57,26,56,0.03649544269647617,0.00012214486198658392
component_02,component_29,1,28,0.03529143550801572,0.00012214486198658392
component_59,component_59,58,58,0.03502846304266087,0.00012214486198658392
component_17,component_20,16,19,0.034881989344689786,0.00012214486198658392
component_08,component_35,7,34,0.03469109752808777,0.00012214486198658392
component_44,component_07,43,6,0.0337991892667556,0.00012214486198658392
component_30,component_12,29,11,0.03281723169236549,0.00012214486198658392
component_02,component_12,1,11,0.032688177668289756,0.00012214486198658392
component_30,component_45,29,44,0.03143035924827038,0.00012214486198658392
component_34,component_56,33,55,0.031202667064653435,0.00012214486198658392
component_07,component_50,6,49,0.03115497959618328,0.00012214486198658392
component_25,component_34,24,33,0.030933682307268555,0.00012214486198658392
component_46,component_23,45,22,0.030628448262192486,0.00012214486198658392
component_15,component_03,14,2,0.030617450944879797,0.00012214486198658392
component_18,component_24,17,23,0.030482439589382376,0.00012214486198658392
component_19,component_30,18,29,0.030440368825238706,0.00012214486198658392
component_13,component_50,12,49,0.03040051763527269,0.00012214486198658392
component_01,component_02,0,1,0.030215418224024786,0.00012214486198658392
component_09,component_36,8,35,0.029380476681993395,0.00012214486198658392
component_10,component_39,9,38,0.028842482932220206,0.00012214486198658392
component_18,component_23,17,22,0.02806714286589904,0.00012214486198658392
component_14,component_03,13,2,0.027842672412071206,0.00012214486198658392
component_31,component_41,30,40,0.02773090745970874,0.00012214486198658392
component_19,component_57,18,56,0.027392079138466426,0.00012214486198658392
component_33,component_37,32,36,0.02676710491910253,0.00012214486198658392
component_14,component_17,13,16,0.026759467105738864,0.00012214486198658392
component_01,component_58,0,57,0.02675870984479755,0.00012214486198658392
component_48,component_11,47,10,0.026378520332615996,0.00012214486198658392
component_23,component_10,22,9,0.025704665352195153,0.00012214486198658392
component_08,component_27,7,26,0.025460761220361502,0.00012214486198658392
component_44,component_43,43,42,0.025182877945008918,0.00012214486198658392
component_15,component_02,14,1,0.0251376034128699,0.00012214486198658392
component_33,component_20,32,19,0.025042954348737097,0.00012214486198658392
component_19,component_42,18,41,0.025033946966086,0.00012214486198658392
component_25,component_02,24,1,0.02443593398105098,0.00012214486198658392
component_03,component_57,2,56,0.024211904450678785,0.00012214486198658392
component_27,component_33,26,32,0.02404063464620946,0.00012214486198658392
component_11,component_34,10,33,0.023993904541584968,0.00012214486198658392
component_19,component_08,18,7,0.02396168811632176,0.00012214486198658392
component_12,component_44,11,43,0.023859468919678325,0.00012214486198658392
component_16,component_36,15,35,0.023439589547784224,0.00012214486198658392
component_13,component_18,12,17,0.023354958900542094,0.00012214486198658392
component_03,component_55,2,54,0.023152494686644712,0.00012214486198658392
component_33,component_43,32,42,0.022838116078633224,0.00012214486198658392
component_33,component_44,32,43,0.022426075962012675,0.00012214486198658392
component_37,component_43,36,42,0.02199382119079871,0.00012214486198658392
component_26,component_36,25,35,0.021909965606853474,0.00012214486198658392
component_15,component_07,14,6,0.02178898061216475,0.00012214486198658392
component_57,component_58,56,57,0.021588374849361467,0.00012214486198658392
