source,target,source_index,target_index,direct_effect,raw_ei
component_08,component_14,7,13,0.025661906664492622,0.025661906664492622
component_08,component_25,7,24,0.0340307523188629,0.0340307523188629
component_08,component_34,7,33,0.021623049545069682,0.021623049545069682
component_08,component_50,7,49,0.027045229074408362,0.027045229074408362
component_09,component_19,8,18,0.027996989361842767,0.027996989361842767
component_09,component_31,8,30,0.0154862543251553,0.0154862543251553
component_09,component_45,8,44,0.0299872171679603,0.0299872171679603
component_09,component_50,8,49,0.01745886366757361,0.01745886366757361
component_09,component_58,8,57,0.02408808745555909,0.02408808745555909
component_10,component_25,9,24,0.035448841536130794,0.035448841536130794
component_10,component_26,9,25,0.03336374027798775,0.03336374027798775
component_10,component_38,9,37,0.017821516458585263,0.017821516458585263
component_10,component_47,9,46,0.09547938700399355,0.09547938700399355
component_10,component_54,9,53,0.030144529463370238,0.030144529463370238
component_11,component_03,10,2,0.020361247065847757,0.020361247065847757
component_11,component_09,10,8,0.022014494120464308,0.022014494120464308
component_11,component_12,10,11,0.02624020144395047,0.02624020144395047
component_11,component_39,10,38,0.027927008732346253,0.027927008732346253
component_11,component_50,10,49,0.02685613660691294,0.02685613660691294
component_12,component_05,11,4,0.044700984736615934,0.044700984736615934
component_12,component_15,11,14,0.051032735204344926,0.051032735204344926
component_12,component_23,11,22,0.028512345830422302,0.028512345830422302
component_12,component_27,11,26,0.04669034862648329,0.04669034862648329
component_12,component_44,11,43,0.027308687681155144,0.027308687681155144
component_13,component_04,12,3,0.010259408027839274,0.010259408027839274
component_13,component_33,12,32,0.009800048185571137,0.009800048185571137
component_13,component_46,12,45,0.0142594762918988,0.0142594762918988
component_13,component_52,12,51,0.019426845455624127,0.019426845455624127
component_13,component_58,12,57,0.022292892874688365,0.022292892874688365
component_14,component_04,13,3,0.02189822534750059,0.02189822534750059
component_14,component_31,13,30,0.03906958002610867,0.03906958002610867
component_14,component_46,13,45,0.01628082816459225,0.01628082816459225
component_14,component_53,13,52,0.016697472658388612,0.016697472658388612
component_14,component_56,13,55,0.017991679216837524,0.017991679216837524
component_15,component_01,14,0,0.021887734521598826,0.021887734521598826
component_15,component_05,14,4,0.00971360659981076,0.00971360659981076
component_15,component_12,14,11,0.013458666694744785,0.013458666694744785
component_15,component_31,14,30,0.016747545198410013,0.016747545198410013
component_15,component_59,14,58,0.010029714281027148,0.010029714281027148
component_16,component_30,15,29,0.023021030574824485,0.023021030574824485
component_16,component_44,15,43,0.04065031845336061,0.04065031845336061
component_16,component_48,15,47,0.044059257931503254,0.044059257931503254
component_16,component_56,15,55,0.023247850393433446,0.023247850393433446
component_16,component_58,15,57,0.021880934113564468,0.021880934113564468
component_17,component_05,16,4,0.011405108464848115,0.011405108464848115
component_17,component_12,16,11,0.017414683000234712,0.017414683000234712
component_17,component_32,16,31,0.019766931690709064,0.019766931690709064
component_17,component_45,16,44,0.023154112054653706,0.023154112054653706
component_17,component_47,16,46,0.0266206512723366,0.0266206512723366
component_18,component_09,17,8,0.02035892870070522,0.02035892870070522
component_18,component_12,17,11,0.020547687184505878,0.020547687184505878
component_18,component_32,17,31,0.02758332877205229,0.02758332877205229
component_18,component_34,17,33,0.02301892285257867,0.02301892285257867
component_18,component_47,17,46,0.02095191593819959,0.02095191593819959
component_19,component_08,18,7,0.01885978737998034,0.01885978737998034
component_19,component_25,18,24,0.02808990442363548,0.02808990442363548
component_19,component_36,18,35,0.019417706015427937,0.019417706015427937
component_19,component_50,18,49,0.02234313270735943,0.02234313270735943
component_19,component_56,18,55,0.021698120414900553,0.021698120414900553
component_20,component_14,19,13,0.023890500142610842,0.023890500142610842
component_20,component_21,19,20,0.022314169963400875,0.022314169963400875
component_20,component_41,19,40,0.016962503707916955,0.016962503707916955
component_20,component_51,19,50,0.0332816154315172,0.0332816154315172
component_20,component_60,19,59,0.015783540306262094,0.015783540306262094
component_21,component_04,20,3,0.01749823309117278,0.01749823309117278
component_21,component_07,20,6,0.022573067051679725,0.022573067051679725
component_21,component_51,20,50,0.018638459729664898,0.018638459729664898
component_21,component_52,20,51,0.021884551557170947,0.021884551557170947
component_21,component_57,20,56,0.02108057355345115,0.02108057355345115
component_22,component_03,21,2,0.024462081317682162,0.024462081317682162
component_22,component_07,21,6,0.026714189271705012,0.026714189271705012
component_22,component_10,21,9,0.03758296031186998,0.03758296031186998
component_22,component_34,21,33,0.033123577742687434,0.033123577742687434
component_22,component_55,21,54,0.020021093497914418,0.020021093497914418
component_23,component_01,22,0,0.046326439972017554,0.046326439972017554
component_23,component_10,22,9,0.026196863716879563,0.026196863716879563
component_23,component_27,22,26,0.02435436600534404,0.02435436600534404
component_23,component_28,22,27,0.03582146842231684,0.03582146842231684
component_23,component_54,22,53,0.03188035663860532,0.03188035663860532
component_24,component_22,23,21,0.012771241135977895,0.012771241135977895
component_24,component_30,23,29,0.01824757010037674,0.01824757010037674
component_24,component_44,23,43,0.026095690995282497,0.026095690995282497
component_24,component_47,23,46,0.025409015149016535,0.025409015149016535
component_24,component_54,23,53,0.0318813924057502,0.0318813924057502
component_25,component_07,24,6,0.009194652226978885,0.009194652226978885
component_25,component_38,24,37,0.01242873287631329,0.01242873287631329
component_25,component_39,24,38,0.035007158420454765,0.035007158420454765
component_25,component_40,24,39,0.00885305747887372,0.00885305747887372
component_25,component_59,24,58,0.009445843574730873,0.009445843574730873
component_26,component_17,25,16,0.008237726661058355,0.008237726661058355
component_26,component_35,25,34,0.012210812788930025,0.012210812788930025
component_26,component_38,25,37,0.00539341071487583,0.00539341071487583
component_26,component_50,25,49,0.008337144887519549,0.008337144887519549
component_26,component_59,25,58,0.0072683074537644035,0.0072683074537644035
component_27,component_01,26,0,0.007228179604098854,0.007228179604098854
component_27,component_12,26,11,0.01873962405258736,0.01873962405258736
component_27,component_23,26,22,0.01046593712061439,0.01046593712061439
component_27,component_35,26,34,0.013931166134205124,0.013931166134205124
component_27,component_38,26,37,0.0093067389838103,0.0093067389838103
component_28,component_06,27,5,0.016111872128847585,0.016111872128847585
component_28,component_40,27,39,0.012939817322711262,0.012939817322711262
component_28,component_46,27,45,0.012366065142338428,0.012366065142338428
component_28,component_49,27,48,0.05253571979077202,0.05253571979077202
component_28,component_53,27,52,0.03071581087612943,0.03071581087612943
component_29,component_08,28,7,0.013591550647225819,0.013591550647225819
component_29,component_13,28,12,0.034582448583244274,0.034582448583244274
component_29,component_48,28,47,0.0384191426177418,0.0384191426177418
component_29,component_56,28,55,0.029590370644341626,0.029590370644341626
component_29,component_59,28,58,0.014159546696864929,0.014159546696864929
component_30,component_14,29,13,0.01350205063896656,0.01350205063896656
component_30,component_33,29,32,0.018509111951883848,0.018509111951883848
component_30,component_41,29,40,0.013852689558077096,0.013852689558077096
component_30,component_45,29,44,0.013794762841145603,0.013794762841145603
