source,target,total_effect
8,16,0.07254904218259652
8,17,-0.03496706322367983
8,18,0.04349497869518699
8,19,0.013992637147369447
8,20,-0.005135767912738809
8,21,-0.017427672154669883
8,22,-0.0016548261529862676
8,23,0.030696066664479892
8,24,-0.0034585848412811942
8,25,0.06911804346560574
8,26,0.001544972361611332
8,27,0.02637742975870854
8,28,0.0004533548106792985
8,29,-0.005295740213767451
8,30,0.029714041024719303
8,31,-0.014643838006217519
8,32,0.01570718485408379
8,33,0.010212980534463617
8,34,-0.053748885149925436
8,35,0.028310315504324435
8,36,-0.03847802906578777
8,37,0.0061737697427441595
8,38,0.010933585716019677
8,39,0.04828717471577496
8,40,0.03467279650011875
8,41,-0.05231447206644816
8,42,0.05975393092437037
8,43,0.010933655519987871
8,44,0.055421754777399974
8,45,0.0015997299035118752
8,46,0.005066529353992778
8,47,-0.03582109698027369
8,48,0.10937159342172739
8,49,-0.13883301954896043
8,50,-0.023822585512269293
8,51,0.18120751738156138
8,52,0.026559239148543443
8,53,0.028164398179934578
8,54,0.03477376484322555
8,55,0.003383858758914896
8,56,-0.09949987560624522
8,57,-0.016578752628106187
8,58,-0.05181734506418699
8,59,0.16760603085408005
9,0,0.2716596493270641
9,1,-0.3987102445654467
9,2,-0.5335799916481685
9,3,0.26598412425616375
9,4,0.5411796511273728
9,5,0.3032789514525725
9,6,-0.10179402533280199
9,7,0.06452439258344184
9,8,-0.31022030102407777
9,10,-0.0011397111190043516
9,11,-0.1023844535296714
9,12,0.04951478178048792
9,13,-0.006770569392643242
9,14,0.12339481484546344
9,15,0.061893213412572
9,16,-0.1469322145407342
9,17,-0.09180736818155923
9,18,0.06358210957339941
9,19,-0.017879030590267988
9,20,0.18729227557608055
9,21,-0.011075467047087192
9,22,0.06537111571587725
9,23,0.04090904641936695
9,24,-0.027095794005483124
9,25,-0.04061937519107268
9,26,-0.008135594537526056
9,27,0.00951115176314027
9,28,0.03983472036938887
9,29,-0.08789542579734537
9,30,0.13439213869114225
9,31,0.010110559463658046
9,32,-0.040022955640147295
9,33,0.026029731193517855
9,34,-0.22252332488113008
9,35,-0.03031354067680172
9,36,0.008829456218464413
9,37,-0.000562530827871176
9,38,-0.055358895788180484
9,39,0.08764899398199374
9,40,0.015937112274866796
9,41,-0.16639985312619873
9,42,-0.19787679985103634
9,43,-0.0017948916955354123
9,44,-0.051561365220710496
9,45,0.002359252914594359
9,46,-0.03424414731054067
9,47,0.02048763263538098
9,48,-0.03731959705301122
9,49,-0.19220919946702247
9,50,-0.06227941912130742
9,51,-0.025826994125689794
9,52,0.02479317122604869
9,53,0.06437910756218163
9,54,0.07126556981746249
9,55,0.01604949783417973
9,56,0.05182862735563465
9,57,-0.3518435688751339
9,58,-0.023892214006112848
9,59,0.20940614678930114
10,0,-0.04377965364621485
10,1,-0.11911487579586603
10,2,0.04006711562382543
10,3,0.0455628592549644
10,4,-0.020834143177429525
10,5,-0.008247677896456652
10,6,-0.011765508145078886
10,7,-0.015179716410357308
10,8,0.004431177221375971
10,9,-0.006003239892116805
10,11,-0.05649688582428629
10,12,0.004349957427923276
10,13,-0.013559056724036126
10,14,-0.021251046695179042
10,15,-0.001647381934494766
10,16,-0.0019030259968945578
10,17,-0.04426210491685816
10,18,0.09211292843363512
10,19,-0.07134040565765899
10,20,0.011438144492357097
10,21,-0.016314900086950135
10,22,0.01664247439090188
10,23,0.11382490293615391
10,24,0.005783206845137029
10,25,-0.00993764646481779
10,26,-0.0020676740748259365
10,27,-0.13096847890946015
10,28,0.0009069484036365612
10,29,0.012957906763478548
10,30,0.017686052273519375
10,31,0.00985844783438713
10,32,0.0028528862920330265
10,33,0.0812159883474079
10,34,-0.004113862707428322
10,35,0.015569957799114178
10,36,-0.04770406296336812
10,37,-0.0017900730421687846
10,38,0.007128278740443994
10,39,-0.0030392832618616017
10,40,-0.003509921217613146
10,41,-0.010123651151017505
10,42,0.002877167769424034
10,43,0.011212343203118105
10,44,-0.010601379329678334
10,45,0.127854336019473
10,46,-0.01073223271706149
10,47,-0.006646908853345826
10,48,0.00016804991780353264
10,49,-0.005738840378356895
10,50,-0.0011169157529505231
10,51,-0.01828438331543242
10,52,0.011814348611688173
10,53,0.005943097198589262
10,54,0.003835778292076824
10,55,0.0031336443168428884
10,56,-0.03381863909820555
10,57,0.014348782356035003
10,58,0.04898276920900502
10,59,-0.014535775648508964
11,0,-0.03832233008945344
11,1,-0.046037616692158514
11,2,0.061961160448951724
11,3,-0.19214778177397532
11,4,0.001576432906873658
11,5,-0.01571651842857419
11,6,0.0009739852858423796
11,7,-0.0016205834375204466
11,8,-0.0002753644451141076
11,9,0.007834819270868992
11,10,-0.08342539120627204
11,12,0.00040157985441356334
11,13,-0.09349829972947406
11,14,0.17738863501268307
11,15,-0.026939874410284028
11,16,0.01824413983916488
11,17,0.09700734166597702
11,18,-0.015828585262616532
11,19,0.035405030239156206
11,20,-0.01973332537309684
11,21,0.10277641732406717
11,22,0.013347603820905989
11,23,0.04313448934395122
11,24,-0.0607494911898627
11,25,-0.006582652355557875
11,26,0.005918484501084069
11,27,-0.03934971586014534
11,28,-0.0034566332747403843
11,29,0.06298823102260187
11,30,-0.014216800764266097
11,31,0.012130368309210526
11,32,-0.04534770872529341
11,33,-0.018415704770743717
11,34,0.017698226641325147
11,35,-0.22585560923547165
11,36,-0.07399247319176774
11,37,-0.0011431635166411745
11,38,-0.010892218479659554
11,39,-0.017244018454693567
11,40,0.005127170052568999
11,41,0.014787758039762114
11,42,0.03604398627987698
11,43,-0.2393302595268873
11,44,0.00487711636022182
11,45,0.08723070766012726
11,46,-0.09082362750728358
11,47,-0.0011205387712668168
11,48,0.027738884798160748
11,49,0.06543977203001825
11,50,0.06905839700852123
11,51,-0.0024332257154523643
11,52,0.01141971878364207
11,53,-0.022400298103880764
11,54,0.032445892915696335
11,55,0.0026668444562300674
11,56,0.4196968719560805
11,57,0.06335321418716927
11,58,0.04548383495536455
11,59,-0.04409009375152792
12,0,0.035050456844919434
12,1,-0.008908014770080987
12,2,0.03591981916477302
12,3,0.0441392264643485
12,4,0.13306008731378577
12,5,0.005145968463885129
12,6,-0.14832174334686749
12,7,0.23007851230856663
12,8,0.08479030358927502
12,9,0.13397534259884292
12,10,-0.00383512788817844
12,11,-0.04758262614961028
12,13,0.006288190608075446
12,14,0.026969388594675087
12,15,0.024896195615476756
12,16,0.11415551386106458
12,17,-0.023340991041183444
12,18,0.022665633754185985
12,19,0.0005801592467082189
12,20,0.10661537059425642
12,21,-2.208389003063062e-06
12,22,0.004423223312287915
12,23,0.010600235331068178
12,24,0.007853666046951709
12,25,0.16779831051632232
12,26,-0.022183015774038136
12,27,0.010989024880517248
12,28,-0.12889932376314778
12,29,-0.022336285105355964
12,30,0.03715603432834272
12,31,0.0870033207641267
12,32,-0.0168991320463479
12,33,0.019388528347402248
12,34,-0.0011843031232623836
12,35,-0.0010093792860254617
12,36,0.00597524282327128
