source,mediator,target,amce,abs_amce
0,2,47,-6.806897934959774e-05,6.806897934959774e-05
0,2,48,0.008616550489621554,0.008616550489621554
0,2,49,0.0216050972287465,0.0216050972287465
0,2,50,9.250804037755017e-05,9.250804037755017e-05
0,2,51,-0.0025313705064178723,0.0025313705064178723
0,2,52,0.007761688093021901,0.007761688093021901
0,2,53,0.0013726520148236406,0.0013726520148236406
0,2,54,0.024503999276974185,0.024503999276974185
0,2,55,-0.0013435253058484329,0.0013435253058484329
0,2,56,-0.00208051168083934,0.00208051168083934
0,2,57,0.025303242110772877,0.025303242110772877
0,2,58,-0.003125342499513779,0.003125342499513779
0,2,59,-0.01759088173515459,0.01759088173515459
0,4,1,0.012183929365612002,0.012183929365612002
0,4,2,0.0028164770043599776,0.0028164770043599776
0,4,3,-0.002438139006459851,0.002438139006459851
0,4,5,-0.015523639359341018,0.015523639359341018
0,4,6,-1.184290736333093e-05,1.184290736333093e-05
0,4,7,0.00018506706025612991,0.00018506706025612991
0,4,8,0.004449746289106662,0.004449746289106662
0,4,9,0.003671931241075436,0.003671931241075436
0,4,10,0.0026816833149865688,0.0026816833149865688
0,4,11,0.01960737412175663,0.01960737412175663
0,4,12,0.0004934306504329887,0.0004934306504329887
0,4,13,-0.0031187364957951077,0.0031187364957951077
0,4,14,0.0035415189823201063,0.0035415189823201063
0,4,15,-0.0021682372068941944,0.0021682372068941944
0,4,16,-0.007096308805796281,0.007096308805796281
0,4,17,0.004641736196808036,0.004641736196808036
0,4,18,-0.011637648314995242,0.011637648314995242
0,4,19,-0.0011284344813877651,0.0011284344813877651
0,4,20,0.002235963346755891,0.002235963346755891
0,4,21,0.0016479237502545114,0.0016479237502545114
0,4,22,-0.00030847225311872326,0.00030847225311872326
0,4,23,-0.01467676192576918,0.01467676192576918
0,4,24,0.0018610976268342687,0.0018610976268342687
0,4,25,2.5355610995549406e-05,2.5355610995549406e-05
0,4,26,0.0009790050254774754,0.0009790050254774754
0,4,27,-0.005796816016682327,0.005796816016682327
0,4,28,0.0016964923368641503,0.0016964923368641503
0,4,29,-0.0012207169373780306,0.0012207169373780306
0,4,30,-0.008078440696907349,0.008078440696907349
0,4,31,0.00048731691879540587,0.00048731691879540587
0,4,32,-0.0014399035733042261,0.0014399035733042261
0,4,33,-9.534161210504784e-05,9.534161210504784e-05
0,4,34,-0.004895823158507424,0.004895823158507424
0,4,35,-0.005969410033939301,0.005969410033939301
0,4,36,0.0002697273858986218,0.0002697273858986218
0,4,37,-2.268026442512958e-05,2.268026442512958e-05
0,4,38,-0.0020760932644030175,0.0020760932644030175
0,4,39,-0.006820178841389978,0.006820178841389978
0,4,40,0.0005114350024095381,0.0005114350024095381
0,4,41,0.013302735212724744,0.013302735212724744
0,4,42,-0.0015893012105690058,0.0015893012105690058
0,4,43,-0.0011639420943597742,0.0011639420943597742
0,4,44,0.000618126147559653,0.000618126147559653
0,4,45,0.0009663182024058491,0.0009663182024058491
0,4,46,0.0010908171516601443,0.0010908171516601443
0,4,47,0.0003435016278168571,0.0003435016278168571
0,4,48,-0.0005537140428511243,0.0005537140428511243
0,4,49,-0.014149063496073838,0.014149063496073838
0,4,50,0.002185352544993702,0.002185352544993702
0,4,51,-0.005700233383032493,0.005700233383032493
0,4,52,0.0020194175041115077,0.0020194175041115077
0,4,53,0.0013292347823905869,0.0013292347823905869
0,4,54,0.006067627437102771,0.006067627437102771
0,4,55,-0.0009507313831797939,0.0009507313831797939
0,4,56,0.0034397687810132265,0.0034397687810132265
0,4,57,0.010103950049247494,0.010103950049247494
0,4,58,0.017276967219391256,0.017276967219391256
0,4,59,-0.011379247845799056,0.011379247845799056
0,5,1,0.001960272160939083,0.001960272160939083
0,5,2,0.00373949696054934,0.00373949696054934
0,5,3,-0.0015353040789923785,0.0015353040789923785
0,5,4,-0.0024031842287131327,0.0024031842287131327
0,5,6,-0.0010653109721980678,0.0010653109721980678
0,5,7,-0.015254247868073207,0.015254247868073207
0,5,8,-0.011651143540522726,0.011651143540522726
0,5,9,0.0016025237638404358,0.0016025237638404358
0,5,10,5.113728035319844e-05,5.113728035319844e-05
0,5,11,-0.0006318047314087975,0.0006318047314087975
0,5,12,0.001375665379317261,0.001375665379317261
0,5,13,0.00355563300849911,0.00355563300849911
0,5,14,1.1597419939757495e-05,1.1597419939757495e-05
0,5,15,0.0049818628056859,0.0049818628056859
0,5,16,0.0005695967323667997,0.0005695967323667997
0,5,17,-0.002205757252578692,0.002205757252578692
0,5,18,0.0006630762386991071,0.0006630762386991071
0,5,19,-0.009548863996803186,0.009548863996803186
0,5,20,0.0037253972246032324,0.0037253972246032324
0,5,21,-0.0015991210460159953,0.0015991210460159953
0,5,22,-0.002404065242309016,0.002404065242309016
0,5,23,-0.00227182701747264,0.00227182701747264
0,5,24,-0.005410837729078333,0.005410837729078333
0,5,25,-0.000687708299515025,0.000687708299515025
0,5,26,-0.0053777411196214075,0.0053777411196214075
0,5,27,0.01288009505738116,0.01288009505738116
0,5,28,-0.0011324519496884447,0.0011324519496884447
0,5,29,-0.002036736492747701,0.002036736492747701
