model,horizon,component,rmse,mae,corr
RNN,4,overall,0.7874336609547296,0.628605009863355,0.19987834172835933
RNN,4,component_01,0.7325765288676962,0.5764136819615121,0.5274308562531773
RNN,4,component_02,0.8111541724463014,0.6367558775056698,0.46431250576315797
RNN,4,component_03,0.8278585696822522,0.667642253703425,0.09558137822880719
RNN,4,component_04,0.7706586970457305,0.6222874305639102,0.21652914529441955
RNN,4,component_05,0.7923221370688064,0.622245784020321,0.05874625970543516
RNN,4,component_06,0.8110327543795313,0.6441603684741096,0.4029092292706845
RNN,4,component_07,0.8476080374603089,0.6688352611505872,0.07253448795868203
RNN,4,component_08,0.8422391132460729,0.6616038766573091,0.2176216177866647
RNN,4,component_09,0.8064286064470741,0.6580380505117925,0.2501768579074364
RNN,4,component_10,0.847970220445979,0.6868523259616485,0.012860474893093636
RNN,4,component_11,0.9070638742417818,0.7274955320185934,0.17050737674494246
RNN,4,component_12,0.8078160993679062,0.6379552985796192,0.008537025793611566
RNN,4,component_13,0.8170231910531592,0.6469823364956625,0.11105563944197881
RNN,4,component_14,0.8281170301547601,0.6538075901095862,0.017770498023593824
RNN,4,component_15,0.8317940913632954,0.6704503388243555,0.09692595378839718
RNN,4,component_16,0.8131867313741425,0.6543253655495718,0.2053629820384268
RNN,4,component_17,0.812175338999639,0.6459155495025002,0.005358931935828049
RNN,4,component_18,0.807440615320567,0.6388689335079251,0.06874527801044658
RNN,4,component_19,0.8165900570223779,0.6561035177096726,-0.058406121420083404
RNN,4,component_20,0.7733212746658409,0.6128289102742343,0.11289491210390316
RNN,4,component_21,0.8071529734316849,0.6462071556006286,0.09803407508233514
RNN,4,component_22,0.8418986128635704,0.6910530685070246,0.18286274646997433
RNN,4,component_23,0.8157609492901984,0.6628878109025821,0.15343006768708767
RNN,4,component_24,0.8011553735526896,0.646073625099526,0.0469803586693194
RNN,4,component_25,0.7324313206582628,0.5872102544925072,0.23758664930505258
RNN,4,component_26,0.8018424636795647,0.6470383573599877,0.10525592134536742
RNN,4,component_27,0.7915772367936604,0.6242605323949849,0.12393297348091913
RNN,4,component_28,0.7510589920679063,0.5980675354386519,-0.0001670775725424178
RNN,4,component_29,0.7536348367510114,0.6174284777423643,0.11400875413700585
RNN,4,component_30,0.8881847226503689,0.7084582148881033,0.16844824719665244
RNN,4,component_31,0.7858704055559751,0.6322993229609676,0.12433956733327614
RNN,4,component_32,0.8055135136230177,0.6520945454972739,0.16145961049372437
RNN,4,component_33,0.803111195735977,0.6430967774556139,0.0591857932250864
RNN,4,component_34,0.7762203453875349,0.6255547293773902,0.2973508282720862
RNN,4,component_35,0.8415826667163154,0.6725456244587701,0.0751784370937262
RNN,4,component_36,0.6827062166421958,0.5478999241749856,0.25615760407159677
RNN,4,component_37,0.7764075420814244,0.6169050102379794,0.18409269656619376
RNN,4,component_38,0.7679750166715109,0.6031984892179579,0.027151987304021467
RNN,4,component_39,0.7475279130192612,0.5979566104875484,0.07502582028918847
RNN,4,component_40,0.7537602647101853,0.6083257566389144,-0.009508496789113051
RNN,4,component_41,0.7804412543965538,0.6291551823838855,-0.004699543043599004
RNN,4,component_42,0.8397059694182188,0.6701411010647936,-0.018368351098002587
RNN,4,component_43,0.7025297680106658,0.5641067912873365,0.2152961036262414
RNN,4,component_44,0.7277193032946502,0.5821967404400206,0.14801934478459441
RNN,4,component_45,0.7564785372816083,0.6060311600727885,0.2130835491268717
RNN,4,component_46,0.7758285441938364,0.631002682923826,0.1012267598573134
RNN,4,component_47,0.7541624012098761,0.5892466898559333,-0.020850556894375417
RNN,4,component_48,0.7528816851855499,0.6064255385128585,0.14260689847047425
RNN,4,component_49,0.7110287859512795,0.561870996787832,0.07820754431467672
RNN,4,component_50,0.7762858935025847,0.6149303160230959,0.30532298221017606
RNN,4,component_51,0.7379740188804254,0.5888497342175227,0.010099636692817042
RNN,4,component_52,0.7789866159546025,0.6254697409396786,0.09952732159573205
RNN,4,component_53,0.7216687982484462,0.5630684476041377,0.17159346285970214
RNN,4,component_54,0.7574794328656392,0.6128920017266669,0.09654880935571736
RNN,4,component_55,0.7613895284726059,0.609864986050628,0.12288633050523855
RNN,4,component_56,0.7627556927498913,0.6140713657343526,0.07368197516082892
RNN,4,component_57,0.7635065187880956,0.6057025724464259,0.12875601055791294
RNN,4,component_58,0.7683073012507946,0.6114058380244803,0.08677613804733032
RNN,4,component_59,0.7535227434004546,0.6019026271551926,0.13424067373525764
