model,horizon,component,rmse,mae,corr
RNN,1,component_43,0.6788982558384455,0.544028916545766,0.34348252942951574
RNN,1,component_44,0.6793204732251888,0.5434762796603284,0.3837214905353157
RNN,1,component_45,0.698294166400345,0.56185618802084,0.4349782180602945
RNN,1,component_46,0.7341098489167011,0.5878364572718122,0.34150277395606005
RNN,1,component_47,0.7206272421649638,0.5651351835644965,0.2516012654557041
RNN,1,component_48,0.7015162307296382,0.5579758548171883,0.383706687655978
RNN,1,component_49,0.6852657970695742,0.5372277343705907,0.27087369523821525
RNN,1,component_50,0.6815653186857773,0.5466585160915949,0.5452955922214711
RNN,1,component_51,0.6863153656898252,0.5464717747570829,0.3524057767575494
RNN,1,component_52,0.7111047855853981,0.5753910575837115,0.38827893019467785
RNN,1,component_53,0.7012713949081237,0.5593599059247447,0.2914197176106163
RNN,1,component_54,0.7222679434535035,0.5829091395962857,0.31866033540246297
RNN,1,component_55,0.7208527113282465,0.5738829993883489,0.3477609393940922
RNN,1,component_56,0.7202097628044553,0.5807975506953214,0.3454836776396854
RNN,1,component_57,0.7520210934752299,0.5949767578598179,0.22498839386666536
RNN,1,component_58,0.728312538900096,0.5778751803619168,0.31586124405215277
RNN,1,component_59,0.7187523614437624,0.5722527167161191,0.3337161818090986
RNN,1,component_60,0.7045687434371706,0.5657355131506363,0.42595750444791003
RNN,2,overall,0.7739202909639553,0.6176490043566808,0.27331808486904047
RNN,2,component_01,0.6816801219956251,0.5410763917933948,0.6146740552185223
RNN,2,component_02,0.8006442168160093,0.621006933689428,0.4673423498788711
RNN,2,component_03,0.7812042759338723,0.6349173825187268,0.33961649706876884
RNN,2,component_04,0.7383881937715211,0.5948127056865663,0.33266778428409877
RNN,2,component_05,0.760977912362923,0.6069090192113121,0.22979516686568513
RNN,2,component_06,0.7532755543611781,0.5944654350851091,0.5314791545753046
RNN,2,component_07,0.8276588000122297,0.663836510492269,0.20198257514306686
RNN,2,component_08,0.8225017200210697,0.6538127883665569,0.3009098860090778
RNN,2,component_09,0.7543314368916775,0.6014406851658244,0.42860762425315685
RNN,2,component_10,0.8339902679236602,0.6759669527133864,0.1458755888031231
RNN,2,component_11,0.8816411488067406,0.7088255072494009,0.2959600473586072
RNN,2,component_12,0.7785565774056031,0.6183825076297792,0.2314261874342796
RNN,2,component_13,0.7823756953551044,0.6168054574044208,0.2954396973543475
RNN,2,component_14,0.7926271133152841,0.6259335821301184,0.2681877269020893
RNN,2,component_15,0.8089367459170612,0.6468726254506231,0.24702747595562952
RNN,2,component_16,0.7867096917022055,0.6281441812204589,0.3287480751750166
RNN,2,component_17,0.7862863643595723,0.628906674745061,0.2103571622284109
RNN,2,component_18,0.7934288633879945,0.6232028677237391,0.1706259199237464
RNN,2,component_19,0.8005094992205208,0.645753559464818,0.12526567292069427
RNN,2,component_20,0.7449852021169547,0.5892714692346537,0.27963779617285345
RNN,2,component_21,0.7929684927505518,0.6356252258345712,0.19562079825886827
RNN,2,component_22,0.8171084412130237,0.6605021255363034,0.3031915824085439
RNN,2,component_23,0.8064635744465735,0.6579175475019233,0.22457885831954474
RNN,2,component_24,0.8035840437145328,0.6478277586765,0.08685999978546705
RNN,2,component_25,0.7150211512053256,0.5700476160256699,0.32418760378984546
RNN,2,component_26,0.792743882656107,0.6369754338932843,0.20550343477020547
RNN,2,component_27,0.7772438872385001,0.6152374530827477,0.22979382998134099
RNN,2,component_28,0.7409195800123838,0.5895195817319059,0.1358411183879944
RNN,2,component_29,0.7293149182159547,0.5906408005088701,0.2723403975210991
RNN,2,component_30,0.8667836159041793,0.6857129890727427,0.268008924565072
RNN,2,component_31,0.7841715463272582,0.6318683375347047,0.17461494197651595
RNN,2,component_32,0.8146483000760955,0.6556312355769667,0.13079167639509065
RNN,2,component_33,0.7886389502433729,0.6245427000505288,0.1976511823419562
RNN,2,component_34,0.7655862298453118,0.6128143336727423,0.3442982492936991
RNN,2,component_35,0.8446164788390986,0.6732070110001028,0.11782655162520414
RNN,2,component_36,0.6780679498465977,0.5410404095529994,0.2822138325219822
