model,horizon,component,rmse,mae,corr
RNN,4,component_07,0.8496009772012602,0.6851942861482423,0.1323063949849403
RNN,4,component_08,0.8556557315400899,0.6830871407202926,0.17353478051058002
RNN,4,component_09,0.8019610855059806,0.6437533918132332,0.2761214822109289
RNN,4,component_10,0.8400101682999627,0.6773428863526324,0.12991681159666374
RNN,4,component_11,0.9043718579612066,0.7244596383316287,0.1747934966133206
RNN,4,component_12,0.8091945880586576,0.6377227763002717,0.1448598006854995
RNN,4,component_13,0.8514242023591315,0.6672187108831757,0.025135672211757307
RNN,4,component_14,0.8404855074901256,0.6541418299038355,0.07883588228038685
RNN,4,component_15,0.8385416839205928,0.6684500676013893,0.13596386497806923
RNN,4,component_16,0.8519486914864269,0.6958054117622542,0.08388403293793369
RNN,4,component_17,0.840450630167732,0.6733057334397473,-0.005588093586440262
RNN,4,component_18,0.8390063882485692,0.666753726359089,0.021937381327767316
RNN,4,component_19,0.8063959113327931,0.6499392717192856,0.1482853536698163
RNN,4,component_20,0.7854957615515923,0.6211065677050551,0.1385471906076896
RNN,4,component_21,0.804734539661606,0.6461605658043462,0.1838949414129376
RNN,4,component_22,0.8454931619885732,0.6893249963763413,0.15691289536974476
RNN,4,component_23,0.7991809184039894,0.6503540754720234,0.22724551699291162
RNN,4,component_24,0.8378509848328615,0.6802970756062688,0.01799582637686456
RNN,4,component_25,0.7320304428105985,0.5951772122681485,0.24526745171871328
RNN,4,component_26,0.8276261866485077,0.6636162699571363,0.06851606688975383
RNN,4,component_27,0.8214140514458926,0.6468567089630735,0.06517441003598108
RNN,4,component_28,0.7202943446920721,0.5732621596454437,0.2404735965549315
RNN,4,component_29,0.7537880608200618,0.622233003885392,0.12282957881356928
RNN,4,component_30,0.8814277519551081,0.7050551382348049,0.17650737746461376
RNN,4,component_31,0.8058204446168362,0.6515253749901937,0.07534518399339701
RNN,4,component_32,0.8127460100945347,0.6613773442445279,0.1551039149732879
RNN,4,component_33,0.8155626155942969,0.6530305650928685,0.0658774403832283
RNN,4,component_34,0.7872777459745335,0.6266451030947849,0.2945529709076266
RNN,4,component_35,0.8667587221964612,0.689122353570257,0.011794897687393698
RNN,4,component_36,0.7012345379039584,0.5598572228217618,0.22815234451889319
RNN,4,component_37,0.7896961891508361,0.6271589896691903,0.16523929870007006
RNN,4,component_38,0.7746555524831538,0.6097813829827065,0.12143646427327688
RNN,4,component_39,0.7922624884213861,0.6365341917405504,0.004289807833041916
RNN,4,component_40,0.756272861227331,0.6120624637668174,0.08511249663746888
RNN,4,component_41,0.802778946497413,0.6479899007768346,0.015534050667672506
RNN,4,component_42,0.8624121859506327,0.6965787345481099,-0.02041672230221561
RNN,4,component_43,0.7157435981578184,0.5788254486343635,0.21445606803809278
RNN,4,component_44,0.7550986882328923,0.6078622443331545,0.06427247063536377
RNN,4,component_45,0.7636676512585894,0.6010732880296571,0.21127121741052507
RNN,4,component_46,0.7855031681516765,0.6359151218918844,0.12318673544238844
RNN,4,component_47,0.766666062719856,0.601138527945997,0.07207908858429762
RNN,4,component_48,0.7750897468050547,0.6186506274002197,0.11451960962976884
RNN,4,component_49,0.7205149721672205,0.5689383970632692,0.08954200724095478
RNN,4,component_50,0.7652158920123983,0.6008973362929297,0.3204356109111497
RNN,4,component_51,0.7711879001470833,0.6113249698568913,0.004459728443944005
