source,target,lag,coefficient,p_value
4,6,1,0.07295535687137333,1.4660430020459862e-06
6,6,1,0.45640612636504085,2.462505568387917e-153
6,6,3,0.0957680791619142,6.730940535334104e-10
8,6,1,-0.06459889016555342,7.40662575422368e-06
12,6,2,0.08834120798330537,1.2929806136016145e-09
20,6,1,0.07090452518839908,1.4768916853226954e-06
21,6,1,-0.09995549366701803,4.809698130635062e-11
24,6,1,-0.06568263473879712,7.221272822232357e-06
25,6,1,0.05764728004514687,0.00014556648638757805
31,6,1,0.05118693287174375,0.00037106581950688706
32,6,1,0.05961658808015956,4.434706633757514e-05
35,6,1,-0.04478012963393744,0.0021356201528537604
45,6,1,-0.04675601378051404,0.0030127409303186063
47,6,1,0.044850351818785196,0.0024403657097385317
50,6,1,-0.06199213861484714,1.929529795449286e-05
50,6,3,0.05654530003991246,8.392306860488108e-05
57,6,3,-0.06818544977364152,2.1533604973661513e-06
5,7,2,-0.06155515628900601,3.351383091153327e-05
6,7,1,0.06108681577980454,0.000294715390072733
6,7,3,-0.06937109895739729,9.791328674827423e-06
7,7,1,0.5330176166742323,2.454820714224459e-211
7,7,4,0.058567328108011046,0.0003356009059929473
10,7,1,-0.12820364815531854,2.6822760320623662e-14
10,7,2,0.07119962591083005,3.166166324122783e-05
14,7,1,-0.07061285119205354,2.5196215561704703e-06
15,7,1,-0.06916439373495696,2.1154245346870724e-06
18,7,1,-0.08793797050387833,3.760720545027081e-09
21,7,1,-0.08251560973516607,7.250005131342802e-07
24,7,1,0.08078359151572652,3.998031515968346e-08
28,7,1,0.06225152123050054,2.9165152056758535e-05
35,7,1,0.04887320208455512,0.0008334115556007183
36,7,1,-0.058552028852883096,9.148076161943462e-05
37,7,3,-0.05093231598100686,0.0004011775933656534
41,7,1,0.06418850576934153,4.5071385633344386e-05
44,7,1,-0.04798912226392385,0.0015366325010721831
52,7,1,0.1486636470816783,7.014358864121676e-23
58,7,2,0.04978741043868743,0.0005658256200310729
1,8,1,0.18600713197349578,6.700394195253572e-25
1,8,2,-0.06297327446189639,0.0002449109117331166
2,8,1,-0.14012095225931792,5.714167511076335e-17
3,8,1,0.07475717832649437,1.593043854835054e-06
8,8,1,0.4384009224728951,1.7437266515301516e-135
8,8,2,0.07154480670374233,7.297705617283692e-05
10,8,1,-0.14122481921211577,4.8971722540730684e-17
10,8,2,0.07500097423853701,8.058186239618147e-06
14,8,1,-0.03997761598187537,0.0069486456927087634
17,8,1,-0.10992617497704078,2.057396577319277e-12
18,8,1,0.04344031059490185,0.0037899479567164614
32,8,1,0.07720415221819468,9.632707085086211e-08
34,8,1,-0.05319996673335124,0.00021812912460425992
35,8,1,0.06665853981934829,3.015680201479234e-06
37,8,1,-0.09018391534529786,2.9381114495856515e-10
41,8,2,0.06551232344732458,6.456384361592158e-06
44,8,1,-0.04552646530728019,0.00208640631360335
48,8,1,-0.062369735891594356,4.083859103074085e-05
0,9,1,-0.2810263093551788,2.7855882899166444e-35
1,9,2,0.05769486063282263,0.0001916036766813065
2,9,1,-0.1836004040247032,1.553617782856483e-29
4,9,1,0.11914870125678823,6.877552423365787e-14
9,9,1,0.32728438190806863,3.239819240420259e-72
16,9,1,0.05573273078070507,0.00013436623200327628
17,9,1,0.06464942536363755,2.807769152006589e-05
21,9,1,-0.12751847834096122,2.063186956148813e-15
22,9,1,0.07806737258394474,2.9026614225574143e-05
22,9,2,-0.061788227550824776,0.00017548909201924522
32,9,1,-0.08049637261336423,2.0853070081726878e-08
33,9,1,-0.061112342792954376,5.7884804172467234e-05
35,9,1,-0.061300531348397344,1.641985108685739e-05
37,9,2,0.041756123193873416,0.0033803150740271343
39,9,1,0.05186615182351583,0.0005539627285524085
46,9,1,0.08974747927831761,9.018263049302196e-10
51,9,1,0.0794845429571265,1.4403262616631177e-07
57,9,1,0.08822811669855787,1.1799921054957134e-09
6,10,1,-0.14333267484665288,3.0282519892066616e-21
6,10,4,0.07027730936018145,2.203589781887766e-06
7,10,1,0.041793325080078866,0.004284851405206637
8,10,1,0.06966054429834344,3.0684018953045248e-06
10,10,1,0.5147591117503731,7.567293935577577e-178
12,10,1,0.045163734795031975,0.0022494962498153166
16,10,1,0.0410723055758653,0.005359974204114498
29,10,1,-0.06615998065444267,5.240412841692912e-06
33,10,1,-0.08875216231478729,8.371596863321087e-09
45,10,1,-0.08995303782505037,1.639476603213616e-09
56,10,2,-0.07558025210033768,2.261481235124017e-07
7,11,1,-0.057206419115245925,0.0006936998335056817
10,11,1,-0.0963550804234398,4.241879758478348e-10
11,11,1,0.33775550791772313,1.4836101899629004e-94
11,11,4,0.06235684452987723,0.00010896626280504029
13,11,1,0.06550352874323648,2.7759613138915565e-05
14,11,1,0.08144737807859276,2.762555457166778e-07
16,11,1,0.06482450716808924,3.420432508641481e-05
17,11,1,0.09117634243411851,2.8896543251885354e-08
25,11,1,-0.061152258860477794,0.00021829068944010014
26,11,1,-0.1068176415291468,2.2338451509901746e-12
27,11,1,0.0543182641304525,0.00040811837756174756
31,11,1,-0.06557051899925287,2.3812271498192836e-05
