source,target,lag,total_effect
56,35,1,-0.06700146963873405
56,43,1,0.05528215466416151
56,47,1,-0.04907419836542729
56,50,1,-0.10945848814373162
57,0,1,-0.08193427094356724
57,1,1,-0.13318849917391543
57,2,1,0.10325031699337232
57,3,1,-0.07367210991750237
57,9,1,0.08822811669855787
57,17,1,-0.09443680030400155
57,19,1,-0.03949197867776189
57,21,1,0.11550538222046006
57,22,1,0.13215664532824153
57,28,1,-0.09000137289885249
57,34,1,0.04951728586460321
57,47,1,0.04721596363264779
57,51,1,-0.102624484930101
57,53,1,0.10872652979012075
57,55,1,0.06179327926497543
57,58,1,-0.07080649030655904
58,20,1,-0.0459213935618599
58,23,1,0.045168446110835585
58,45,1,-0.04992922233583589
58,50,1,-0.08290799355325204
58,51,1,-0.07369820208629393
59,23,1,0.06675694815205054
59,24,1,-0.08148707737686327
59,36,1,0.09589244975789968
59,37,1,-0.07945265094435287
59,39,1,-0.05695574273987997
59,55,1,0.09199235505279159
0,1,2,-0.08199637399751113
0,2,2,0.0036928389443438604
0,3,2,0.0032189652466059837
0,6,2,0.004562981750237833
0,7,2,0.008605272380712169
0,8,2,-0.0015765514138092603
0,9,2,-0.248747034023097
0,11,2,-0.011830156384661436
0,12,2,0.0024368428997092097
0,13,2,0.021670622323963527
0,14,2,0.0077046127374159066
0,15,2,-0.024590722777836384
0,17,2,-0.01103103568598642
0,18,2,0.10597090765341577
0,19,2,0.016152392260650475
0,21,2,-0.03164970910792185
0,22,2,0.006869653096893386
0,23,2,-0.17289290679291733
0,24,2,-0.0361258073794933
0,25,2,-0.010904101916689694
0,27,2,-0.07700139738870514
0,29,2,0.016304986304798097
0,30,2,-0.26378999056167707
0,31,2,0.016739424154277382
0,32,2,0.06998541508850556
0,33,2,0.002215501944496838
0,34,2,0.00344803649833474
0,35,2,0.05708002615484373
0,36,2,0.03223092650940562
0,37,2,-0.001854776950016273
0,38,2,0.1331912503976154
0,39,2,-0.014673490249534266
0,41,2,-0.0065378914652634654
0,42,2,-0.0571671229740142
0,45,2,-0.005006754771080459
0,46,2,0.06713136313173684
0,47,2,-0.11959045038164302
0,48,2,0.001087051904117186
0,49,2,-0.012055547393683424
0,50,2,0.010441607107721686
0,51,2,-0.02071663727794749
0,53,2,0.03233446345375187
0,54,2,0.028942588866858257
0,55,2,0.003960169061718874
0,56,2,0.004473882452101556
0,57,2,-0.0026665620465604473
0,58,2,-0.009067176318939305
0,59,2,0.09413598990554592
1,0,2,-0.1579863280710575
1,2,2,0.10432247999758057
1,3,2,-0.09857734153885304
1,5,2,0.009312737307347035
1,6,2,-0.025333032494920582
1,7,2,-0.0035827446285723458
1,8,2,0.10914876956346782
1,9,2,0.08156009261410299
1,10,2,0.012957358056647517
1,11,2,0.010347968500133732
1,12,2,-0.02791537252324915
1,13,2,-0.08783129385531036
1,14,2,-0.09300430301236982
1,15,2,0.07996313438661172
1,16,2,-0.00805757042638416
1,17,2,0.07491493212474967
1,18,2,-0.02409331239157764
1,19,2,0.0024899381992285075
1,20,2,0.008396261808723299
1,21,2,0.007648457311019807
1,22,2,0.12323834624124648
1,23,2,-0.013242046913450572
1,24,2,-0.018095894988489476
