component,ace,acs,incoming_total_effect,direct_out_strength,direct_in_strength,paper_component
34,0.029507492867091104,0.026142620443337688,0.026142620443337688,0.019260187324397278,0.01920524982973915,34
40,0.02872933507655106,0.028402482974204987,0.028402482974204987,0.02139321094050626,0.01914623647210455,40
32,0.028077178139080068,0.024730865933514614,0.024730865933514614,0.019006463692612073,0.01580270094534241,32
5,0.027718126454027242,0.03804231452841506,0.03804231452841506,0.023187711037228338,0.026934532221166492,5
54,0.02767707582329346,0.02749339369648804,0.02749339369648804,0.020723429947406224,0.01975398267330458,54
30,0.027344888368294892,0.030069773822961044,0.030069773822961044,0.019311415922336997,0.022420430218611773,30
50,0.02580234878839569,0.026551744694246003,0.026551744694246003,0.018518077850676544,0.018769049416875874,50
12,0.025645576128500977,0.03280415617084697,0.03280415617084697,0.01730774717489075,0.024476682989144773,12
18,0.025559159973509177,0.03559744666220265,0.03559744666220265,0.017987579176405186,0.027263805263402115,7
9,0.025541338805728356,0.03423273147683126,0.03423273147683126,0.01854793818198809,0.025719206268907748,9
46,0.025235408718169067,0.025976042299109138,0.025976042299109138,0.019038585290512045,0.018086012261591636,46
28,0.0251986773415282,0.03917864100845431,0.03917864100845431,0.017948554904996434,0.029572698136463026,28
26,0.025100623288914613,0.024546364699846397,0.024546364699846397,0.018365418186676637,0.018091595216237055,8
15,0.025029213357536953,0.02371189940312085,0.02371189940312085,0.018719661081759497,0.017296593208430123,15
33,0.024373441028600076,0.011809016162411952,0.011809016162411952,0.017260875996146657,0.008774147506132174,33
42,0.024312079504670066,0.029322839849345177,0.029322839849345177,0.017850201490794845,0.0204375789970641,42
44,0.022836289261272808,0.025238812873039754,0.025238812873039754,0.015845372609988025,0.017732750721620297,44
16,0.022652190195474303,0.026416871854838663,0.026416871854838663,0.016296294013815486,0.01914132497072209,16
17,0.022462148500131018,0.026737097984864785,0.026737097984864785,0.01693340927150105,0.019615820685707823,17
36,0.022142714242340863,0.02495522474278005,0.02495522474278005,0.016349688807198226,0.018718237060370905,36
47,0.021618688393101302,0.03427356190584011,0.03427356190584011,0.01468340967247331,0.023605212659133318,47
13,0.021419444561757876,0.03400355299434711,0.03400355299434711,0.013402747944203822,0.025520800803888622,13
23,0.02133625304139223,0.02588175908053595,0.02588175908053595,0.015194958824066915,0.019278980579508994,23
38,0.020827884079577145,0.029863355051450362,0.029863355051450362,0.01424610246515184,0.019226117316697735,38
56,0.019259832908867645,0.01623081701178266,0.01623081701178266,0.013240874200574713,0.01263569052726421,56
52,0.018418618536368742,0.026333746606987098,0.026333746606987098,0.01322037105581684,0.018122048080015104,52
48,0.018137829337087748,0.023336527054996725,0.023336527054996725,0.0130439060731732,0.017325500054595037,21
49,0.01803525234181142,0.03389758057386208,0.03389758057386208,0.013371163920681939,0.022840346610268663,49
45,0.017456481245660384,0.027801533021856464,0.027801533021856464,0.01287720864772765,0.019020995451085314,45
35,0.01735669163012776,0.024044571270869362,0.024044571270869362,0.012151804997567793,0.017638009940503945,35
58,0.017112712848047794,0.0281929967950128,0.0281929967950128,0.011094637561059943,0.0173939699036727,58
27,0.01635659765461885,0.03388412869992472,0.03388412869992472,0.011563501097435348,0.025233227608713757,27
53,0.016323003748365934,0.026339818972297185,0.026339818972297185,0.01227898549301174,0.018250060074851845,53
59,0.01604603972642392,0.023928927127881208,0.023928927127881208,0.011251678795866362,0.01725172934490574,59
43,0.014163935354941377,0.02347617722874295,0.02347617722874295,0.010820018369451677,0.016809319341466178,43
57,0.013506729967109617,0.022495879616532297,0.022495879616532297,0.0094893161871749,0.01622431963477019,57
41,0.012838098907251454,0.023211725953937126,0.023211725953937126,0.009641339716716185,0.016612770982398155,41
