source,mediator,target,lag,mce,mce_max_abs
56,12,40,4,-0.00021757741241254687,0.00021757741241254687
56,12,41,4,5.059774096422177e-05,5.059774096422177e-05
56,12,42,4,0.0010668895334928746,0.0010668895334928746
56,12,43,4,-2.9823888216203714e-05,2.9823888216203714e-05
56,12,44,4,0.00016155631979706663,0.00016155631979706663
56,12,46,4,3.3057146887100104e-06,3.3057146887100104e-06
56,12,47,4,-3.5932335883129274e-05,3.5932335883129274e-05
56,12,48,4,8.318096077195459e-05,8.318096077195459e-05
56,12,49,4,-0.00017288148080721322,0.00017288148080721322
56,12,50,4,0.00013556655453725785,0.00013556655453725785
56,12,52,4,-7.646540523066278e-05,7.646540523066278e-05
56,12,54,4,-0.0017367665657396475,0.0017367665657396475
56,12,57,4,-0.001343580490105964,0.001343580490105964
56,12,58,4,-0.00010710557398091599,0.00010710557398091599
56,12,59,4,-4.135715751198642e-05,4.135715751198642e-05
57,12,0,4,0.00020860675432717024,0.00020860675432717024
57,12,7,4,-0.00027966435714002144,0.00027966435714002144
57,12,11,4,0.0004230775752833222,0.0004230775752833222
57,12,19,4,0.00021833898952379385,0.00021833898952379385
57,12,23,4,0.00038762472842715067,0.00038762472842715067
57,12,39,4,0.00021722758629378128,0.00021722758629378128
57,12,42,4,0.0002129187550541996,0.0002129187550541996
57,12,54,4,-0.0004372182218972619,0.0004372182218972619
58,12,0,4,-0.0005809725172021864,0.0005809725172021864
58,12,1,4,4.680824952560218e-05,4.680824952560218e-05
58,12,2,4,-3.399675190992116e-05,3.399675190992116e-05
58,12,3,4,-2.339719187843467e-05,2.339719187843467e-05
58,12,4,4,-0.00010323140909811179,0.00010323140909811179
58,12,5,4,-6.904439584874862e-05,6.904439584874862e-05
58,12,7,4,0.0007365803416367451,0.0007365803416367451
58,12,8,4,0.000156097077961187,0.000156097077961187
58,12,9,4,-8.772956872748344e-06,8.772956872748344e-06
58,12,10,4,2.4586087949297203e-05,2.4586087949297203e-05
58,12,11,4,-0.0009451705905662213,0.0009451705905662213
58,12,13,4,4.41734443114173e-05,4.41734443114173e-05
58,12,14,4,-3.714915383619399e-05,3.714915383619399e-05
58,12,15,4,1.9136515613200032e-05,1.9136515613200032e-05
58,12,16,4,-7.762112259422594e-05,7.762112259422594e-05
58,12,17,4,9.487715810253816e-06,9.487715810253816e-06
58,12,18,4,-4.103658162023672e-05,4.103658162023672e-05
58,12,19,4,-0.0005510225567653647,0.0005510225567653647
58,12,20,4,6.380753265533383e-05,6.380753265533383e-05
58,12,21,4,-9.802611432573397e-05,9.802611432573397e-05
58,12,22,4,0.00021222938885120946,0.00021222938885120946
58,12,23,4,-0.0008644973841653667,0.0008644973841653667
58,12,24,4,9.339086580206941e-05,9.339086580206941e-05
58,12,25,4,-0.00012047982700071676,0.00012047982700071676
58,12,27,4,2.256776986220505e-05,2.256776986220505e-05
58,12,28,4,-5.647780807534891e-05,5.647780807534891e-05
58,12,29,4,7.716044590110266e-05,7.716044590110266e-05
