source,target,lag,coefficient,p_value
17,15,1,0.09183228900566076,7.185954801735875e-08
17,15,2,-0.060848978621110536,0.0002617439465938813
19,15,2,0.07746697355630192,5.591475908080219e-07
21,15,1,0.04450183034250208,0.005366832420628817
22,15,1,0.06039450733043119,0.00016376755850628163
39,15,1,-0.04476546852833959,0.004686270590249745
46,15,1,-0.05609505658914458,0.00031586683984694046
47,15,1,-0.06750661169370159,1.9356716528888244e-05
52,15,1,0.04361258444269741,0.00496011511707721
7,16,2,0.060073088976891294,0.0001245868487541548
16,16,1,0.38017316255055306,3.248962349036244e-117
20,16,1,0.09789339527325915,4.957415775048297e-09
20,16,2,-0.059374342537649206,0.00036556386994012944
24,16,1,-0.08111648391532919,3.2475983343974656e-07
26,16,1,0.06729706643491609,1.3759194901710588e-05
28,16,1,0.11806263497807339,3.261794994729675e-13
34,16,1,0.06832259132105466,1.0721199684879652e-05
37,16,1,0.04987972446393913,0.0012046412093984623
54,16,1,-0.09021461759507836,9.537949689854131e-09
56,16,1,-0.054361577830573694,0.0005275653732867572
59,16,1,-0.061943829932935277,7.201064645799503e-05
2,17,1,0.13238533038782363,4.838174573876385e-14
7,17,1,-0.05635156852404796,0.0007314362672243429
11,17,1,-0.04864532179981646,0.0030996378735969766
14,17,1,0.04556454004258371,0.005128266185048922
15,17,1,-0.050282049786332814,0.002545992865280958
17,17,1,0.40319063966437396,2.090839064155417e-121
27,17,1,-0.07148008969262924,2.0969911552196574e-05
32,17,1,-0.0724687800131339,8.540828538500498e-06
40,17,2,-0.04954437386317231,0.0016248473061895787
46,17,1,-0.05239356791032584,0.001372346593236239
48,17,2,-0.05958187040149407,0.00015333792039623137
50,17,2,-0.061122437256673504,0.00014038317115661397
58,17,1,-0.0543228511143541,0.0006527870372935409
1,18,1,-0.15796391166240642,1.2605625523209051e-18
4,18,1,-0.10843310205685174,7.678798308488217e-11
9,18,1,-0.05533227605835887,0.0005339787509665578
14,18,2,-0.06474581517122974,3.743840956360463e-05
16,18,2,0.06108584694251588,9.187655712895195e-05
18,18,1,0.3315114482645595,1.543557584330892e-84
18,18,3,0.07660746304613926,9.919575663034729e-07
19,18,2,-0.04972225475207662,0.0018036766384202185
21,18,2,-0.05629978549599535,0.0005257169625321087
26,18,1,0.09034959078100557,1.5273953482471164e-08
29,18,1,0.056421286447523325,0.0007522443657928735
31,18,1,-0.07722967939347235,1.086293053390882e-06
32,18,1,0.08425189325178394,1.5705494105381142e-07
44,18,1,-0.06114573206158107,0.0001643658917354896
45,18,1,0.07015863294256061,1.1445705301810936e-05
46,18,1,0.08106686999960211,4.3186135583952865e-07
47,18,1,-0.04642750251287824,0.004310512285142126
48,18,1,0.050536336145427,0.0013168017491697027
54,18,1,-0.0476944856573648,0.0024752414528406586
56,18,1,0.058188060943531496,0.0002177274201699637
0,19,1,0.19267690009485217,1.3735394961893479e-24
2,19,2,-0.06676729145875762,5.4826115268202914e-05
4,19,2,-0.07475793393047621,4.314125238578159e-06
7,19,1,0.0846463378275619,6.496848037148848e-07
9,19,1,-0.12380196087189693,5.695437502140308e-15
12,19,1,0.054056408594511475,0.0009741103104949736
15,19,1,-0.047130017420652766,0.0030278109789928093
18,19,1,0.059902859158303214,0.0001401337716024553
19,19,1,0.3513843925819541,2.886030694926385e-95
26,19,2,0.05996574980101259,0.0001368852233598776
28,19,1,0.07996295398919337,3.679974039467422e-07
29,19,1,0.05270945448386114,0.0006665386539094203
36,19,1,0.054794356382420355,0.00047544052320310225
40,19,1,-0.07969857550628345,4.205796451987823e-07
50,19,1,-0.07383534201393817,5.977842579605731e-06
51,19,1,-0.07208463973348986,4.282612040925028e-06
1,20,1,0.06216625941513711,0.0003194793211314591
2,20,2,0.05518641950386501,0.0005925040845646742
9,20,1,-0.06851243831134882,2.8389498255453693e-05
20,20,1,0.3145395371913882,4.439549531693249e-78
24,20,1,-0.05187510747841275,0.008229868415162687
26,20,1,0.07024277418314682,1.2636554317350017e-05
34,20,1,0.04456879069044628,0.003981331670669021
36,20,1,0.046291100556239057,0.004640996397750921
37,20,1,0.12156082616286852,1.4523517808934192e-14
39,20,1,-0.14926301907244846,1.0902182892677159e-19
44,20,1,0.05359495788598799,0.0012454647701396705
47,20,1,0.04341973044612764,0.008003332148784575
50,20,1,-0.10381601322170579,3.26804137433123e-10
55,20,1,-0.07657552072366748,2.3702966759010774e-06
59,20,1,-0.07347149010475873,3.288756008271076e-06
2,21,1,-0.13457727259490837,1.2568954714886008e-11
2,21,2,-0.04955958487882489,0.007064697064278268
3,21,2,0.06437817570438839,0.00014664882814393508
6,21,1,0.04834627065346969,0.002836755662637033
7,21,1,0.06528096493222497,0.00013924182926159764
8,21,2,-0.1340581815025418,1.7557187232782855e-15
10,21,1,-0.1173758340775536,9.03569268595259e-11
10,21,2,0.0831091288706454,5.452941441187923e-06
11,21,1,0.08832606708068587,4.899885297802629e-08
11,21,3,0.058441357340059195,0.00012309314496622602
16,21,2,0.04560116863878622,0.003423231580559008
21,21,1,0.336738421806272,1.9132057132248298e-75
24,21,1,0.05430430215409248,0.004645918833844889
29,21,1,0.09450967504996977,2.441158697226272e-09
