datetime_utc,dst_nT,status
2024-05-12T23:29:30Z,-81,10
2024-05-13T00:29:30Z,-74,10
2024-05-13T01:29:30Z,-76,10
2024-05-13T02:29:30Z,-83,10
2024-05-13T03:29:30Z,-88,10
2024-05-13T04:29:30Z,-93,10
2024-05-13T05:29:30Z,-86,10
2024-05-13T06:29:30Z,-84,10
2024-05-13T07:29:30Z,-67,10
2024-05-13T08:29:30Z,-63,10
2024-05-13T09:29:30Z,-59,10
2024-05-13T10:29:30Z,-57,10
2024-05-13T11:29:30Z,-61,10
2024-05-13T12:29:30Z,-59,10
2024-05-13T13:29:30Z,-63,10
2024-05-13T14:29:30Z,-57,10
2024-05-13T15:29:30Z,-51,10
2024-05-13T16:29:30Z,-54,10
2024-05-13T17:29:30Z,-55,10
2024-05-13T18:29:30Z,-55,10
2024-05-13T19:29:30Z,-51,10
2024-05-13T20:29:30Z,-48,10
2024-05-13T21:29:30Z,-44,10
2024-05-13T22:29:30Z,-43,10
2024-05-13T23:29:30Z,-46,10
2024-05-14T00:29:30Z,-45,10
2024-05-14T01:29:30Z,-48,10
2024-05-14T02:29:30Z,-49,10
2024-05-14T03:29:30Z,-51,10
2024-05-14T04:29:30Z,-46,10
2024-05-14T05:29:30Z,-42,10
2024-05-14T06:29:30Z,-41,10
2024-05-14T07:29:30Z,-43,10
2024-05-14T08:29:30Z,-46,10
2024-05-14T09:29:30Z,-49,10
2024-05-14T10:29:30Z,-51,10
2024-05-14T11:29:30Z,-53,10
2024-05-14T12:29:30Z,-54,10
2024-05-14T13:29:30Z,-48,10
2024-05-14T14:29:30Z,-45,10
2024-05-14T15:29:30Z,-44,10
2024-05-14T16:29:30Z,-42,10
2024-05-14T17:29:30Z,-42,10
2024-05-14T18:29:30Z,-45,10
2024-05-14T19:29:30Z,-44,10
2024-05-14T20:29:30Z,-41,10
2024-05-14T21:29:30Z,-39,10
2024-05-14T22:29:30Z,-38,10
2024-05-14T23:29:30Z,-41,10
2024-05-15T00:29:30Z,-42,10
2024-05-15T01:29:30Z,-40,10
2024-05-15T02:29:30Z,-39,10
2024-05-15T03:29:30Z,-39,10
2024-05-15T04:29:30Z,-32,10
2024-05-15T05:29:30Z,-30,10
2024-05-15T06:29:30Z,-33,10
2024-05-15T07:29:30Z,-35,10
2024-05-15T08:29:30Z,-33,10
2024-05-15T09:29:30Z,-33,10
2024-05-15T10:29:30Z,-36,10
2024-05-15T11:29:30Z,-44,10
2024-05-15T12:29:30Z,-46,10
2024-05-15T13:29:30Z,-44,10
2024-05-15T14:29:30Z,-41,10
2024-05-15T15:29:30Z,-40,10
2024-05-15T16:29:30Z,-40,10
2024-05-15T17:29:30Z,-38,10
2024-05-15T18:29:30Z,-32,10
2024-05-15T19:29:30Z,-32,10
2024-05-15T20:29:30Z,-36,10
2024-05-15T21:29:30Z,-42,10
2024-05-15T22:29:30Z,-44,10
2024-05-15T23:29:30Z,-49,10
2024-05-16T00:29:30Z,-49,10
2024-05-16T01:29:30Z,-51,10
2024-05-16T02:29:30Z,-48,10
2024-05-16T03:29:30Z,-46,10
2024-05-16T04:29:30Z,-39,10
2024-05-16T05:29:30Z,-29,10
2024-05-16T06:29:30Z,-37,10
2024-05-16T07:29:30Z,-32,10
2024-05-16T08:29:30Z,-38,10
2024-05-16T09:29:30Z,-74,10
2024-05-16T10:29:30Z,-82,10
2024-05-16T11:29:30Z,-73,10
2024-05-16T12:29:30Z,-63,10
2024-05-16T13:29:30Z,-73,10
2024-05-16T14:29:30Z,-71,10
2024-05-16T15:29:30Z,-73,10
2024-05-16T16:29:30Z,-69,10
2024-05-16T17:29:30Z,-68,10
2024-05-16T18:29:30Z,-64,10
2024-05-16T19:29:30Z,-58,10
2024-05-16T20:29:30Z,-54,10
2024-05-16T21:29:30Z,-52,10
2024-05-16T22:29:30Z,-51,10
2024-05-16T23:29:30Z,-49,10
2024-05-17T00:29:30Z,-51,10
2024-05-17T01:29:30Z,-52,10
2024-05-17T02:29:30Z,-51,10
2024-05-17T03:29:30Z,-50,10
2024-05-17T04:29:30Z,-43,10
2024-05-17T05:29:30Z,-37,10
2024-05-17T06:29:30Z,-39,10
2024-05-17T07:29:30Z,-34,10
2024-05-17T08:29:30Z,-31,10
2024-05-17T09:29:30Z,-30,10
2024-05-17T10:29:30Z,-30,10
2024-05-17T11:29:30Z,-34,10
2024-05-17T12:29:30Z,-40,10
2024-05-17T13:29:30Z,-28,10
2024-05-17T14:29:30Z,-23,10
2024-05-17T15:29:30Z,-21,10
2024-05-17T16:29:30Z,-36,10
2024-05-17T17:29:30Z,-52,10
2024-05-17T18:29:30Z,-66,10
2024-05-17T19:29:30Z,-77,10
2024-05-17T20:29:30Z,-80,10
2024-05-17T21:29:30Z,-78,10
2024-05-17T22:29:30Z,-85,10
2024-05-17T23:29:30Z,-88,10
2024-05-18T00:29:30Z,-82,10
2024-05-18T01:29:30Z,-81,10
2024-05-18T02:29:30Z,-78,10
2024-05-18T03:29:30Z,-78,10
2024-05-18T04:29:30Z,-78,10
2024-05-18T05:29:30Z,-72,10
2024-05-18T06:29:30Z,-69,10
2024-05-18T07:29:30Z,-66,10
2024-05-18T08:29:30Z,-62,10
2024-05-18T09:29:30Z,-62,10
2024-05-18T10:29:30Z,-67,10
2024-05-18T11:29:30Z,-68,10
2024-05-18T12:29:30Z,-65,10
2024-05-18T13:29:30Z,-63,10
2024-05-18T14:29:30Z,-62,10
2024-05-18T15:29:30Z,-62,10
2024-05-18T16:29:30Z,-58,10
2024-05-18T17:29:30Z,-54,10
2024-05-18T18:29:30Z,-53,10
2024-05-18T19:29:30Z,-49,10
2024-05-18T20:29:30Z,-45,10
2024-05-18T21:29:30Z,-38,10
2024-05-18T22:29:30Z,-33,10
2024-05-18T23:29:30Z,-34,10
2024-05-19T00:29:30Z,-35,10
2024-05-19T01:29:30Z,-32,10
2024-05-19T02:29:30Z,-34,10
2024-05-19T03:29:30Z,-37,10
2024-05-19T04:29:30Z,-39,10
2024-05-19T05:29:30Z,-42,10
2024-05-19T06:29:30Z,-39,10
2024-05-19T07:29:30Z,-37,10
2024-05-19T08:29:30Z,-35,10
2024-05-19T09:29:30Z,-32,10
2024-05-19T10:29:30Z,-24,10
2024-05-19T11:29:30Z,-26,10
2024-05-19T12:29:30Z,-25,10
2024-05-19T13:29:30Z,-24,10
2024-05-19T14:29:30Z,-27,10
2024-05-19T15:29:30Z,-33,10
2024-05-19T16:29:30Z,-34,10
2024-05-19T17:29:30Z,-33,10
2024-05-19T18:29:30Z,-33,10
2024-05-19T19:29:30Z,-28,10
2024-05-19T20:29:30Z,-16,10
2024-05-19T21:29:30Z,-14,10
2024-05-19T22:29:30Z,-12,10
2024-05-19T23:29:30Z,-12,10
2024-05-20T00:29:30Z,-14,10
2024-05-20T01:29:30Z,-15,10
2024-05-20T02:29:30Z,-14,10
2024-05-20T03:29:30Z,-20,10
2024-05-20T04:29:30Z,-22,10
2024-05-20T05:29:30Z,-19,10
2024-05-20T06:29:30Z,-20,10
2024-05-20T07:29:30Z,-34,10
2024-05-20T08:29:30Z,-29,10
2024-05-20T09:29:30Z,-24,10
2024-05-20T10:29:30Z,-28,10
2024-05-20T11:29:30Z,-30,10
2024-05-20T12:29:30Z,-25,10
2024-05-20T13:29:30Z,-18,10
2024-05-20T14:29:30Z,-21,10
2024-05-20T15:29:30Z,-19,10
2024-05-20T16:29:30Z,-18,10
2024-05-20T17:29:30Z,-18,10
2024-05-20T18:29:30Z,-16,10
2024-05-20T19:29:30Z,-13,10
2024-05-20T20:29:30Z,-11,10
2024-05-20T21:29:30Z,-9,10
2024-05-20T22:29:30Z,-9,10
2024-05-20T23:29:30Z,-13,10
2024-05-21T00:29:30Z,-13,10
2024-05-21T01:29:30Z,-9,10
2024-05-21T02:29:30Z,-10,10
2024-05-21T03:29:30Z,-13,10
2024-05-21T04:29:30Z,-13,10
2024-05-21T05:29:30Z,-12,10
2024-05-21T06:29:30Z,-10,10
2024-05-21T07:29:30Z,-11,10
2024-05-21T08:29:30Z,-9,10
2024-05-21T09:29:30Z,-7,10
2024-05-21T10:29:30Z,-9,10
2024-05-21T11:29:30Z,-15,10
2024-05-21T12:29:30Z,-24,10
2024-05-21T13:29:30Z,-20,10
2024-05-21T14:29:30Z,-15,10
2024-05-21T15:29:30Z,-12,10
2024-05-21T16:29:30Z,-15,10
2024-05-21T17:29:30Z,-17,10
2024-05-21T18:29:30Z,-14,10
2024-05-21T19:29:30Z,-9,10
2024-05-21T20:29:30Z,-9,10
2024-05-21T21:29:30Z,-12,10
2024-05-21T22:29:30Z,-13,10
2024-05-21T23:29:30Z,-14,10
2024-05-22T00:29:30Z,-12,10
2024-05-22T01:29:30Z,-12,10
2024-05-22T02:29:30Z,-11,10
2024-05-22T03:29:30Z,-12,10
2024-05-22T04:29:30Z,-8,10
2024-05-22T05:29:30Z,-7,10
2024-05-22T06:29:30Z,-6,10
2024-05-22T07:29:30Z,-5,10
2024-05-22T08:29:30Z,-5,10
2024-05-22T09:29:30Z,-6,10
2024-05-22T10:29:30Z,-7,10
2024-05-22T11:29:30Z,-6,10
2024-05-22T12:29:30Z,-5,10
2024-05-22T13:29:30Z,-4,10
2024-05-22T14:29:30Z,-2,10
2024-05-22T15:29:30Z,-1,10
2024-05-22T16:29:30Z,-1,10
2024-05-22T17:29:30Z,3,10
2024-05-22T18:29:30Z,5,10
2024-05-22T19:29:30Z,6,10
2024-05-22T20:29:30Z,8,10
2024-05-22T21:29:30Z,8,10
2024-05-22T22:29:30Z,9,10
2024-05-22T23:29:30Z,7,10
2024-05-23T00:29:30Z,4,10
2024-05-23T01:29:30Z,5,10
2024-05-23T02:29:30Z,7,10
2024-05-23T03:29:30Z,7,10
2024-05-23T04:29:30Z,10,10
2024-05-23T05:29:30Z,7,10
2024-05-23T06:29:30Z,2,10
