dynamics,label,L,center,seed,repeat,noise_std,n_samples,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,4.0,-3.0,20765463,2,0.05,4096,1,1,variance_matched,3.139123017664445,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765463,2,0.05,4096,1,1,identity,3.16350286232366,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765480,3,0.05,4096,1,1,variance_matched,3.148224780615865,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765480,3,0.05,4096,1,1,identity,3.1498530645994953,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765497,4,0.05,4096,1,1,variance_matched,3.1004643090989297,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765497,4,0.05,4096,1,1,identity,3.122716737889536,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765514,5,0.05,4096,1,1,variance_matched,3.143703817607224,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765514,5,0.05,4096,1,1,identity,3.128570976304908,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765531,6,0.05,4096,1,1,variance_matched,3.1519720035431105,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765531,6,0.05,4096,1,1,identity,3.1628974970931516,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765548,7,0.05,4096,1,1,variance_matched,3.1377090067742155,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765548,7,0.05,4096,1,1,identity,3.140312436206802,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765565,8,0.05,4096,1,1,variance_matched,3.157359605341547,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765565,8,0.05,4096,1,1,identity,3.1442462212317075,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765582,9,0.05,4096,1,1,variance_matched,3.1175035219975946,"{""direction"": [1.0]}"
