dynamics,label,noise_mode,baseline,raw_slope_log_l,corrected_slope_log_l,slope_abs_reduction,raw_cv_l,corrected_cv_l,cv_reduction,corrected_range_l
identity,identity,fixed,analytic_volume,0.9855310681516535,-0.014468931848346842,0.9710621363033066,0.39493229200492763,0.011342282886556393,0.38359000911837127,0.058878605658167826
identity,identity,fixed,identity,0.9855310681516535,-0.00407195427977712,0.9814591138718763,0.39493229200492763,1.5386624592153801,-1.1437301672104525,0.013554625483902072
identity,identity,fixed,variance_matched,0.9855310681516535,-0.0009027766187688622,0.9846282915328847,0.39493229200492763,4.932921317604889,-4.537989025599962,0.012069056625703768
identity,identity,fixed,gain_matched,0.9855310681516535,0.001768674854489479,0.983762393297164,0.39493229200492763,2.314256575072593,-1.9193242830676653,0.013127669279625076
identity,identity,fixed,null,0.9855310681516535,0.9854900927283575,4.0975423295952496e-05,0.39493229200492763,0.39491706913152735,1.5222873400277948e-05,3.406278691731681
identity,identity,fixed,shuffled_target,0.9855310681516535,0.9856921020553477,-0.00016103390369426318,0.39493229200492763,0.3950190464867246,-8.675448179695788e-05,3.407519608503798
product,product,fixed,analytic_volume,1.7990512801371885,-0.2009487198628115,1.598102560274377,0.6898364887453766,0.49107402291534624,0.19876246583003038,0.9615886900063156
product,product,fixed,variance_matched,1.7990512801371885,-0.00098395356801882,1.7980673265691698,0.6898364887453766,6.975359267380718,-6.285522778635341,0.02096185349990469
product,product,fixed,identity,1.7990512801371885,0.8132579911016765,0.985793289035512,0.6898364887453766,6.548358231603737,-5.858521742858361,2.6341603399252937
product,product,fixed,gain_matched,1.7990512801371885,1.4992539583211861,0.2997973218160024,0.6898364887453766,0.6560638862696839,0.03377260247569269,4.904286728993393
product,product,fixed,null,1.7990512801371885,1.7984475111096356,0.0006037690275528806,0.6898364887453766,0.6895014547422889,0.0003350340030877641,5.970515403901009
product,product,fixed,shuffled_target,1.7990512801371885,1.7991354267679647,-8.414663077616069e-05,0.6898364887453766,0.6899178889348677,-8.140018949109873e-05,5.972142404023415
tanh,tanh,fixed,analytic_volume,0.0476862372275422,-0.9523137627724577,-0.9046275255449155,0.2549411510316609,2.2912646149970235,-2.0363234639653625,3.1618445236321264
tanh,tanh,fixed,identity,0.0476862372275422,-0.9383162005064601,-0.890629963278918,0.2549411510316609,0.9969399582043197,-0.7419988071726589,3.09824779933304
