L,alpha,repeat,q1_noise_std,tm_ei,tm_syn,tm_single_q2,tm_single_q3
2.0,1.0,0,0.05,1.7928371774798615,1.7926692418065786,0.0,0.00016793567328278602
2.0,1.0,1,0.05,1.816198277641278,1.816198277641278,0.0,0.0
2.0,1.0,2,0.05,1.8271987842426698,1.826530202136485,0.0,0.0006685821061846808
2.0,1.0,3,0.05,1.833760128088218,1.833760128088218,0.0,0.0
4.0,0.0,0,0.05,3.1722350447595544,-0.0005624125434857436,3.1723660372513267,0.00043142005171345764
4.0,0.0,1,0.05,3.120829168690031,0.0009393041947767244,3.119889864495254,0.0
4.0,0.0,2,0.05,3.1255105170433453,0.0001997859171023464,3.125310731126243,0.0
4.0,0.0,3,0.05,3.1454810705315466,0.0008635611617107131,3.144617509369836,0.0
4.0,0.5,0,0.05,1.1020228503248513,0.36763959632203647,0.7343832540028148,0.0
4.0,0.5,1,0.05,1.118958129733623,0.4137268004208863,0.7052313293127368,0.0
4.0,0.5,2,0.05,1.0982916611435147,0.37464963517329863,0.7236420259702161,0.0
4.0,0.5,3,0.05,1.097855677114267,0.37262798097684824,0.7252276961374187,0.0
4.0,1.0,0,0.05,0.38515701514566003,0.38515701514566003,0.0,0.0
4.0,1.0,1,0.05,0.40519266132262993,0.40433653624145344,0.0,0.0008561250811764993
4.0,1.0,2,0.05,0.42182371940608687,0.421094364033826,0.0001914336278426727,0.0005379217444182162
4.0,1.0,3,0.05,0.3956763751773875,0.39553301733479046,0.0,0.0001433578425970669
6.0,0.0,0,0.05,3.5437360107370397,0.0002150824480207092,3.543520928289019,0.0
6.0,0.0,1,0.05,3.5358359788351654,0.00023890929322423204,3.535597069541941,0.0
6.0,0.0,2,0.05,3.5532762714182398,-0.00013555279543320253,3.553411824213673,0.0
6.0,0.0,3,0.05,3.560431227041094,-0.0002872435225965328,3.560462621867175,0.000255848696515478
6.0,0.5,0,0.05,0.9956187116923894,0.002303960097540414,0.9933147515948489,0.0
6.0,0.5,1,0.05,1.0106630819410154,0.0030272733178420275,1.0076358086231734,0.0
6.0,0.5,2,0.05,1.0045810293902837,0.00398230769969854,1.0005987216905852,0.0
6.0,0.5,3,0.05,1.0183481810200532,0.0029434401417161027,1.015404740878337,0.0
6.0,1.0,0,0.05,0.0004286237790405263,0.0004286237790405263,0.0,0.0
6.0,1.0,1,0.05,0.002162475262247193,0.002162475262247193,0.0,0.0
6.0,1.0,2,0.05,0.0010651020927547098,0.0007662716390836994,0.0,0.00029883045367101046
6.0,1.0,3,0.05,0.004036765070561745,0.0030560231332777514,0.0003452844452443629,0.0006354574920396306
8.0,0.0,0,0.05,3.828428225461602,-0.0007712309468214467,3.8287518533490457,0.0004476030593777796
8.0,0.0,1,0.05,3.8418553433051685,0.00022297821629591041,3.8416323650888726,0.0
8.0,0.0,2,0.05,3.817005225878277,-0.0007005474922689992,3.817705773370546,0.0
8.0,0.0,3,0.05,3.862946845646009,-0.00011477798712038423,3.8630019561803435,5.966745278611585e-05
8.0,0.5,0,0.05,1.2450815167531333,0.0027073833151416427,1.2423741334379916,0.0
8.0,0.5,1,0.05,1.2543332245183874,0.000518650309434438,1.2534859839060941,0.000328590302858805
8.0,0.5,2,0.05,1.2594550466420593,3.086387455022909e-05,1.2592879208362964,0.00013626193121271747
8.0,0.5,3,0.05,1.242319790542339,0.0011614484972985917,1.2411337873910193,2.455465402118939e-05
8.0,1.0,0,0.05,0.0005918120519161116,0.0005918120519161116,0.0,0.0
8.0,1.0,1,0.05,0.0006941877023587302,0.00048512534653372846,0.00020906235582500172,0.0
8.0,1.0,2,0.05,0.0,0.0,0.0,0.0
8.0,1.0,3,0.05,0.00039961976279672914,0.0003717300207026009,2.7889742094128227e-05,0.0
10.0,0.0,0,0.05,4.05548699873252,-0.00021368816292888226,4.055700686895449,0.0
10.0,0.0,1,0.05,4.050374808846467,0.0006596033908241594,4.049715205455643,0.0
10.0,0.0,2,0.05,4.05131120398895,-3.9843431046016065e-05,4.051351047419996,0.0
10.0,0.0,3,0.05,4.0631731533356135,-0.0002907247941457213,4.063422328760529,4.1549369230072743e-05
10.0,0.5,0,0.05,1.4334090426714319,-0.000892613365251677,1.434131951138864,0.00016970489781961744
10.0,0.5,1,0.05,1.4389378535338033,-0.00048578379801860556,1.4389970264550844,0.0004266108767375024
10.0,0.5,2,0.05,1.4415918917821804,-0.0006412638645690043,1.4418479651996736,0.00038519044707577434
