label,center,series,series_kind,baseline,ei_mean,n_repeats
sin(x),-2.0,variance_matched,baseline,variance_matched,2.3418539330741943,10
sin(x),-1.0,variance_matched,baseline,variance_matched,2.4161877432351737,10
sin(x),0.0,variance_matched,baseline,variance_matched,2.7356963645007406,10
sin(x),1.0,variance_matched,baseline,variance_matched,2.4197785670946668,10
sin(x),2.0,variance_matched,baseline,variance_matched,2.3374804691568682,10
sin(x),3.0,variance_matched,baseline,variance_matched,2.7295798817547405,10
sin(x),4.0,variance_matched,baseline,variance_matched,2.500952941950252,10
sin(x),5.0,variance_matched,baseline,variance_matched,2.2680400140696615,10
sin(x),6.0,variance_matched,baseline,variance_matched,2.7050866472229647,10
sin(x),7.0,variance_matched,baseline,variance_matched,2.562135232341816,10
sin(x),8.0,variance_matched,baseline,variance_matched,2.2150959833084074,10
sin(x),-8.0,raw EI,raw,,1.94710588111703,10
sin(x),-7.0,raw EI,raw,,2.4216276824372427,10
sin(x),-6.0,raw EI,raw,,2.668323428794668,10
sin(x),-5.0,raw EI,raw,,2.0169005716183337,10
sin(x),-4.0,raw EI,raw,,2.3180718186339244,10
sin(x),-3.0,raw EI,raw,,2.710795406274473,10
sin(x),-2.0,raw EI,raw,,2.1042017859559072,10
sin(x),-1.0,raw EI,raw,,2.2130361409637826,10
sin(x),0.0,raw EI,raw,,2.7185113846377758,10
sin(x),1.0,raw EI,raw,,2.21313110051721,10
sin(x),2.0,raw EI,raw,,2.1065851775102042,10
sin(x),3.0,raw EI,raw,,2.708423250301635,10
sin(x),4.0,raw EI,raw,,2.3228929699816776,10
sin(x),5.0,raw EI,raw,,2.01193304000554,10
sin(x),6.0,raw EI,raw,,2.674890982543266,10
sin(x),7.0,raw EI,raw,,2.427027224388925,10
sin(x),8.0,raw EI,raw,,1.9478584919318085,10
exp(x),-8.0,identity,baseline,identity,3.138588019766461,10
exp(x),-7.0,identity,baseline,identity,3.1450393208540124,10
exp(x),-6.0,identity,baseline,identity,3.138684297477372,10
exp(x),-5.0,identity,baseline,identity,3.1380735301655394,10
exp(x),-4.0,identity,baseline,identity,3.1362156342908767,10
exp(x),-3.0,identity,baseline,identity,3.1427631741791,10
exp(x),-2.0,identity,baseline,identity,3.142878680581583,10
exp(x),-1.0,identity,baseline,identity,3.1375677276985146,10
exp(x),0.0,identity,baseline,identity,3.136037198254365,10
exp(x),1.0,identity,baseline,identity,3.132136541515301,10
exp(x),2.0,identity,baseline,identity,3.1371061801539866,10
exp(x),3.0,identity,baseline,identity,3.138681137162737,10
exp(x),4.0,identity,baseline,identity,3.1428476725814707,10
exp(x),5.0,identity,baseline,identity,3.1421366210600055,10
exp(x),6.0,identity,baseline,identity,3.13326440053586,10
exp(x),7.0,identity,baseline,identity,3.1396885537856343,10
exp(x),8.0,identity,baseline,identity,3.1390323316584916,10
exp(x),-8.0,variance_matched,baseline,variance_matched,-5.341789413879452e-06,10
exp(x),-7.0,variance_matched,baseline,variance_matched,0.0008531269571649137,10
exp(x),-6.0,variance_matched,baseline,variance_matched,0.004418242177376705,10
exp(x),-5.0,variance_matched,baseline,variance_matched,0.03187850068204863,10
exp(x),-4.0,variance_matched,baseline,variance_matched,0.19191102587673692,10
exp(x),-3.0,variance_matched,baseline,variance_matched,0.75284789314683,10
exp(x),-2.0,variance_matched,baseline,variance_matched,1.641493264353396,10
exp(x),-1.0,variance_matched,baseline,variance_matched,2.6297061478785837,10
exp(x),0.0,variance_matched,baseline,variance_matched,3.62420488234901,10
exp(x),1.0,variance_matched,baseline,variance_matched,4.622198036380591,10
exp(x),2.0,variance_matched,baseline,variance_matched,5.625697143233056,10
exp(x),3.0,variance_matched,baseline,variance_matched,6.594683910827172,10
exp(x),4.0,variance_matched,baseline,variance_matched,7.286989331637679,10
exp(x),5.0,variance_matched,baseline,variance_matched,7.511966242224965,10
exp(x),6.0,variance_matched,baseline,variance_matched,7.541706964818289,10
exp(x),7.0,variance_matched,baseline,variance_matched,7.549718319097425,10
exp(x),8.0,variance_matched,baseline,variance_matched,7.5495965552411,10
exp(x),-8.0,raw EI,raw,,-1.3552643971110029e-05,10
exp(x),-7.0,raw EI,raw,,0.0005906134813308795,10
exp(x),-6.0,raw EI,raw,,0.004276907274233211,10
exp(x),-5.0,raw EI,raw,,0.029003695156345342,10
exp(x),-4.0,raw EI,raw,,0.19047731124205644,10
exp(x),-3.0,raw EI,raw,,0.7555458628793869,10
exp(x),-2.0,raw EI,raw,,1.6309669386052945,10
exp(x),-1.0,raw EI,raw,,2.5353975083991616,10
exp(x),0.0,raw EI,raw,,3.1607749918040775,10
exp(x),1.0,raw EI,raw,,3.3666898186486995,10
exp(x),2.0,raw EI,raw,,3.403148252587953,10
exp(x),3.0,raw EI,raw,,3.4161394596830568,10
exp(x),4.0,raw EI,raw,,3.4060359263059716,10
exp(x),5.0,raw EI,raw,,3.412512961939446,10
exp(x),6.0,raw EI,raw,,3.409417086971529,10
exp(x),7.0,raw EI,raw,,3.4025055117751153,10
exp(x),8.0,raw EI,raw,,3.4010415608198192,10
