dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,1.0,20261480,3,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.8053412948432643,"{""gain_matrix"": [[1.0000000000000016]]}"
identity,x,1.0,20261480,3,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.7615839085320362,"{""direction"": [1.0]}"
identity,x,1.0,20261480,3,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,-0.001342971023941956,{}
identity,x,1.0,20261480,3,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,1.0,20261497,4,fixed,0.05,1024,fixed_density,4.0,1,1,null,-0.00022706374942020602,{}
identity,x,1.0,20261497,4,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7471514749658028,"{""projection"": [[1.0]]}"
identity,x,1.0,20261497,4,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.7569801571867267,"{""gain_matrix"": [[0.9999999999999997]]}"
identity,x,1.0,20261497,4,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.7543974747499966,"{""direction"": [1.0]}"
identity,x,1.0,20261497,4,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,0.0028625592122471983,{}
identity,x,1.0,20261497,4,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,1.0,20261514,5,fixed,0.05,1024,fixed_density,4.0,1,1,null,-0.0012608923307084153,{}
identity,x,1.0,20261514,5,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7270014345864142,"{""projection"": [[1.0]]}"
identity,x,1.0,20261514,5,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.8022617994584493,"{""gain_matrix"": [[1.0]]}"
identity,x,1.0,20261514,5,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.7717352966040183,"{""direction"": [1.0]}"
identity,x,1.0,20261514,5,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,-0.0010943920541597414,{}
identity,x,1.0,20261514,5,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,1.0,20261531,6,fixed,0.05,1024,fixed_density,4.0,1,1,null,0.003052291719399556,{}
identity,x,1.0,20261531,6,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7540394847064924,"{""projection"": [[1.0]]}"
identity,x,1.0,20261531,6,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.7337307260215313,"{""gain_matrix"": [[0.9999999999999996]]}"
identity,x,1.0,20261531,6,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.7676255280155582,"{""direction"": [1.0]}"
identity,x,1.0,20261531,6,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,0.000209963893985745,{}
identity,x,1.0,20261531,6,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,1.0,20261548,7,fixed,0.05,1024,fixed_density,4.0,1,1,null,-0.0002000727599571839,{}
identity,x,1.0,20261548,7,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7347510320232244,"{""projection"": [[1.0]]}"
identity,x,1.0,20261548,7,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.7772863309994964,"{""gain_matrix"": [[0.9999999999999989]]}"
identity,x,1.0,20261548,7,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.8058761702562987,"{""direction"": [1.0]}"
identity,x,1.0,20261548,7,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,-0.0007489798639894006,{}
identity,x,1.0,20261548,7,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
