alpha,q1_noise_std,repeat,L,tm_ei,tm_syn,tm_single_q2,tm_single_q3
0.5,0.0,2,2.0,3.9551358429364027,3.234358246449253,0.7207775964871498,0.0
0.5,0.0,3,2.0,3.9676351550787663,3.2280730729971703,0.7395620820815959,0.0
0.5,0.02,0,2.0,2.7703289877884307,2.0371641183059315,0.7330330738211109,0.0001317956613882596
0.5,0.02,1,2.0,2.750096215617813,2.006393294046574,0.7434098157533015,0.00029310581793772725
0.5,0.02,2,2.0,2.7489452537488015,2.005520227350849,0.7434250263979523,0.0
0.5,0.02,3,2.0,2.760370248491108,2.013138666365064,0.747231582126044,0.0
0.5,0.05,0,2.0,1.8896448449845469,1.189846184566572,0.6996947326059599,0.00010392781201501333
0.5,0.05,1,2.0,1.8622259479683625,1.1670946112228244,0.6951313367455382,0.0
0.5,0.05,2,2.0,1.8681512674450045,1.1659384671531892,0.7022128002918152,0.0
0.5,0.05,3,2.0,1.8724282236132461,1.1892061429058218,0.6832220807074242,0.0
0.5,0.1,0,2.0,1.2311577356170684,0.607904316053564,0.6228361522730341,0.0004172672904703163
0.5,0.1,1,2.0,1.2349371785046819,0.6181867174875876,0.6167504610170943,0.0
0.5,0.1,2,2.0,1.2427390782018088,0.6231115223965614,0.6194508640309462,0.00017669177430122536
0.5,0.1,3,2.0,1.215358097437278,0.6025627517891102,0.6127953456481677,0.0
0.5,0.2,0,2.0,0.6512510118575416,0.2450278572555468,0.40585030802997324,0.0003728465720216174
0.5,0.2,1,2.0,0.6524275655917617,0.2306182703497084,0.421399608909946,0.0004096863321073736
0.5,0.2,2,2.0,0.6573588991858951,0.256366443337854,0.4005710491546437,0.00042140669339736317
0.5,0.2,3,2.0,0.6324099862649787,0.2272144952514184,0.4051954910135603,0.0
0.5,0.4,0,2.0,0.2493508181115361,0.056615785916260014,0.19273503219527607,0.0
0.5,0.4,1,2.0,0.25649156579208854,0.07102574282872147,0.1854218144402096,4.400852315745535e-05
0.5,0.4,2,2.0,0.252676458161444,0.06598886589147099,0.18668759226997303,0.0
0.5,0.4,3,2.0,0.26741678003207175,0.06321160167935844,0.20420517835271332,0.0
0.5,0.6,0,2.0,0.1244787418557548,0.032049376491066706,0.0924293653646881,0.0
0.5,0.6,1,2.0,0.13348350576833615,0.03372618913579681,0.0994602046801013,0.00029711195243803065
0.5,0.6,2,2.0,0.12393626554428568,0.03228585930705617,0.0916504062372295,0.0
0.5,0.6,3,2.0,0.13667187911565412,0.03286320467395572,0.10284065317195468,0.0009680212697437238
0.5,0.8,0,2.0,0.08641070291096772,0.02725332374732129,0.05896112036316478,0.00019625880048165022
0.5,0.8,1,2.0,0.08277223520517211,0.016148118825351065,0.06519404798170174,0.001430068398119312
0.5,0.8,2,2.0,0.09491477342064383,0.024046867312271607,0.07070300551387385,0.00016490059449837907
0.5,0.8,3,2.0,0.08799409001910945,0.017956117728173973,0.07003797229093547,0.0
0.5,1.0,0,2.0,0.04933734087683427,0.010637848295791985,0.038642805899229304,5.668668181298331e-05
0.5,1.0,1,2.0,0.05197410134262415,0.013463216573515244,0.038370115736869694,0.0001407690322392151
0.5,1.0,2,2.0,0.04399241196296838,0.01251543868541104,0.03136799055042463,0.00010898272713271292
0.5,1.0,3,2.0,0.05507755632597623,0.011245978536616137,0.043831577789360095,0.0
1.0,0.0,0,2.0,3.25505910594493,3.25505910594493,0.0,0.0
1.0,0.0,1,2.0,3.235433099045737,3.235433099045737,0.0,0.0
1.0,0.0,2,2.0,3.2112405526946968,3.2107054496432013,0.0005351030514956649,0.0
1.0,0.0,3,2.0,3.2700059912977575,3.269236516455807,6.764551117705348e-05,0.0007018293307735432
1.0,0.02,0,2.0,2.6133487518307894,2.6129540870412407,0.0,0.00039466478954888593
1.0,0.02,1,2.0,2.6033674789519963,2.602342047088264,0.0010254318637319903,0.0
1.0,0.02,2,2.0,2.5952341133922996,2.5949200008740574,0.0,0.0003141125182421284
1.0,0.02,3,2.0,2.600715227901024,2.600146652842744,0.0,0.0005685750582801224
1.0,0.05,0,2.0,1.8362832049048587,1.836235317095144,4.788780971487483e-05,0.0
1.0,0.05,1,2.0,1.8364747536118478,1.8363892113838507,8.55422279971052e-05,0.0
1.0,0.05,2,2.0,1.8513898011340775,1.8513898011340775,0.0,0.0
1.0,0.05,3,2.0,1.812810249603162,1.8121709283293328,0.0005154736204661213,0.00012384765336291402
1.0,0.1,0,2.0,1.1823872176736632,1.1817726619324322,0.0,0.0006145557412309065
1.0,0.1,1,2.0,1.1801192177078654,1.1799039190996687,0.00021529860819667886,0.0
1.0,0.1,2,2.0,1.2021772318732045,1.2019703325880868,2.1663994893658223e-05,0.00018523529022406772
1.0,0.1,3,2.0,1.1798763858654624,1.1795493365486613,0.0,0.00032704931680109826
1.0,0.2,0,2.0,0.6172396536427718,0.6169072584377523,0.00033239520501943343,0.0
1.0,0.2,1,2.0,0.5856054684497508,0.5856043772084771,0.0,1.0912412736266142e-06
1.0,0.2,2,2.0,0.6073780245020546,0.6073681509541622,9.873547892410877e-06,0.0
1.0,0.2,3,2.0,0.6311300936368711,0.6311300936368711,0.0,0.0
1.0,0.4,0,2.0,0.24247402174730998,0.24247402174730998,0.0,0.0
1.0,0.4,1,2.0,0.24039604281176236,0.23813724393722316,0.0011104601383018031,0.0011483387362374055
1.0,0.4,2,2.0,0.24111567280382137,0.24109780690464136,1.7865899180024207e-05,0.0
1.0,0.4,3,2.0,0.22832243171341338,0.22832243171341338,0.0,0.0
1.0,0.6,0,2.0,0.12028656902793892,0.12028656902793892,0.0,0.0
1.0,0.6,1,2.0,0.1213388185203213,0.12009946845556757,0.0010263608872255953,0.00021298917752814468
1.0,0.6,2,2.0,0.11496814570867761,0.11496814570867761,0.0,0.0
1.0,0.6,3,2.0,0.12653533919746945,0.1250982322113095,0.0012638789687566545,0.00017322801740329353
1.0,0.8,0,2.0,0.07227489220739682,0.07221104584633618,0.0,6.384636106063629e-05
1.0,0.8,1,2.0,0.06886530242321791,0.06886530242321791,0.0,0.0
1.0,0.8,2,2.0,0.07477429089640823,0.07456441154491276,0.0,0.00020987935149547072
1.0,0.8,3,2.0,0.07468629965059151,0.07468629965059151,0.0,0.0
1.0,1.0,0,2.0,0.05075660308372159,0.05074182769025538,1.4775393466212038e-05,0.0
1.0,1.0,1,2.0,0.04680073787493198,0.04649765622161777,0.0,0.0003030816533142119
1.0,1.0,2,2.0,0.04256854012326723,0.04087991768252584,0.0003970911041913879,0.0012915313365499984
1.0,1.0,3,2.0,0.04712007699875434,0.04712007699875434,0.0,0.0
