region_index,region,whole_ei_to_target,singleton_ei_sum_to_target,raw_target_burden,target_burden,target_noise_variance,target_signal_variance,ace,acs,amce,direct_out_strength,direct_in_strength,ace_rank,acs_rank,amce_rank,requested_g,actual_g,tau,sample_count,whole_system_phi_eid,target_burden_sum,mean_rate_hz,stabilization_start_s,runge_path_scale_factor,runge_path_spectral_radius,runge_path_alpha,runge_path_max_length
37,Left-Hippocampus,1.2904243233930535,0.7426161948666651,0.5478081285263884,0.5478081285263884,0.035775186924724964,0.43675573934980755,0.007296466039735132,0.0015069880138223182,9.041681045578843e-06,0.5146489336532245,0.10128346824334142,11,81,24,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
48,ctx-rh-inferiortemporal,1.1328076722697178,0.5890978700961657,0.5437098021735521,0.5437098021735521,0.05572740524554374,0.48132054623975984,0.003944052988853828,0.002404199500467346,7.830505768161665e-06,0.265882847834614,0.16266871740224553,28,61,32,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
45,ctx-rh-bankssts,0.9986249890444536,0.45916552343105876,0.5394594656133949,0.5394594656133949,0.16604110838632907,1.0574766248896987,0.0010890456579376638,0.004434551182402443,4.008831381277577e-06,0.0763259576634572,0.30099931235147326,57,16,54,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
60,ctx-rh-isthmuscingulate,1.027403588002782,0.4939099455623658,0.5334936424404163,0.5334936424404163,0.13178617759019895,0.8968487800854161,0.0010444128059716431,0.003583539525482128,3.0530093539482993e-06,0.07068416627188696,0.2396624087636628,59,37,67,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
9,ctx-lh-parahippocampal,0.9827595069535401,0.4542005438288822,0.5285589631246579,0.5285589631246579,0.11966643587156488,0.734586378101006,0.0019832273920888216,0.004625681370929942,7.655048325658339e-06,0.1352871914684852,0.316419572563014,49,15,33,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
20,ctx-lh-posteriorcingulate,1.0664836221180254,0.543407839519618,0.5230757825984074,0.5230757825984074,0.09688356261059658,0.7208013878199363,0.0023634439230993476,0.002749554803689733,5.461135577944566e-06,0.15928877952817763,0.18947936821656636,39,50,44,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
15,ctx-lh-precuneus,1.082176375878293,0.5638871812304957,0.5182891946477972,0.5182891946477972,0.09382621860994746,0.7233028693753673,0.002105022644262609,0.002600206619864272,4.450384749143084e-06,0.14496825165826585,0.17297740557818836,46,55,50,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
61,ctx-rh-posteriorcingulate,1.0215822421066414,0.5036545093337221,0.5179277327729193,0.5179277327729193,0.06175631665493478,0.4146927126756782,0.0036020830048492246,0.003284575495842165,9.804724994800295e-06,0.251190382897254,0.22283673288473543,32,42,20,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
30,ctx-lh-lateralorbitofrontal,1.1643640172881904,0.6465232200036237,0.5178407972845667,0.5178407972845667,0.07394899616207705,0.6851283283937837,0.0024422328074959884,0.00192528917439399,3.8797161980113435e-06,0.1672081496969247,0.12998016340884458,38,72,56,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
57,ctx-rh-superiorparietal,1.1531527975480764,0.6395745636341047,0.5135782339139717,0.5135782339139717,0.056832613879021304,0.5136119218117098,0.0037090645909853923,0.0019489199613038498,5.968430050627385e-06,0.25061964459675234,0.1320945423126472,30,71,42,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
