region_index,region,target_burden,ace,acs,amce,direct_out_strength,direct_in_strength,ace_rank,acs_rank,amce_rank,requested_g,actual_g,tau,sample_count,whole_system_phi_eid,target_burden_sum,mean_rate_hz,stabilization_start_s,runge_path_scale_factor,runge_path_spectral_radius,runge_path_alpha,runge_path_max_length
9,ctx-lh-parahippocampal,0.5285589631246579,0.0019832273920888216,0.004625681370929942,7.655048325658339e-06,0.1352871914684852,0.316419572563014,49,15,33,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
20,ctx-lh-posteriorcingulate,0.5230757825984074,0.0023634439230993476,0.002749554803689733,5.461135577944566e-06,0.15928877952817763,0.18947936821656636,39,50,44,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
15,ctx-lh-precuneus,0.5182891946477972,0.002105022644262609,0.002600206619864272,4.450384749143084e-06,0.14496825165826585,0.17297740557818836,46,55,50,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
61,ctx-rh-posteriorcingulate,0.5179277327729193,0.0036020830048492246,0.003284575495842165,9.804724994800295e-06,0.251190382897254,0.22283673288473543,32,42,20,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
30,ctx-lh-lateralorbitofrontal,0.5178407972845667,0.0024422328074959884,0.00192528917439399,3.8797161980113435e-06,0.1672081496969247,0.12998016340884458,38,72,56,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
57,ctx-rh-superiorparietal,0.5135782339139717,0.0037090645909853923,0.0019489199613038498,5.968430050627385e-06,0.25061964459675234,0.1320945423126472,30,71,42,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
50,ctx-rh-parahippocampal,0.5090164767112353,0.0015065268457273,0.003987598846769916,5.017409316366795e-06,0.10585428484939774,0.2728739672602575,54,26,47,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
24,ctx-lh-frontalpole,0.5061479014028174,0.0006265444826326112,0.005560177206879684,2.8350433726461097e-06,0.04139557140415988,0.3715080391791856,81,1,71,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
72,ctx-rh-medialorbitofrontal,0.5027005125352916,0.0010094890601120693,0.004630106555144611,3.758630173657593e-06,0.06914597760189908,0.3053123610108899,61,14,57,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
16,ctx-lh-superiorparietal,0.498352588461195,0.0016808204592876478,0.0030165914738334034,4.281013832987289e-06,0.11710690538295233,0.2083429542155463,50,46,52,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
